,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.23,0.48,0.49,0.52,0.32,0.44,0.15,0.68,0.47,0.76,0.43
codesmith.csv,0.0,0.31,0.65,0.47,0.28,0.52,0.14,0.31,0.3,0.6,0.84
javaprofiler.csv,0.59,0.47,0.71,0.66,0.33,0.74,0.05,0.59,0.47,0.82,0.57
jpaul.csv,0.71,0.19,0.21,0.45,0.15,0.41,0.2,0.46,0.06,0.69,0.49
jrdf.csv,0.52,0.26,0.0,0.66,0.63,0.47,0.1,0.3,0.3,0.43,0.19
mecat.csv,0.11,0.13,0.0,0.52,0.14,0.4,0.46,0.0,0.3,0.29,0.0
neodatis-odb.csv,0.35,0.68,0.7,0.78,0.18,0.46,0.22,0.38,0.54,0.68,0.22
synecdoche.csv,0.39,0.32,0.44,0.67,0.53,0.47,0.11,0.25,0.64,0.4,0.65
tycho.csv,0.32,0.46,0.8,0.73,0.1,0.58,0.07,0.5,0.4,0.68,0.27
unicase.csv,0.43,0.52,0.4,0.8,0.35,0.82,0.1,0.47,0.49,0.69,0.65
xcmetadataservicestoolkit.csv,0.41,0.44,0.06,0.65,0.23,0.86,0.06,0.19,0.55,0.52,0.25
