,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.34,0.47,0.5,0.34,1.0,0.2,0.15,0.2,0.91,0.61,0.47
codesmith.csv,0.1,0.09,1.0,0.13,0.17,0.53,0.4,0.62,0.23,0.44,0.26
javaprofiler.csv,0.59,0.89,0.82,0.7,0.93,0.87,0.63,0.62,0.7,0.17,0.41
jpaul.csv,0.29,0.29,0.0,0.3,0.15,0.4,0.1,0.2,0.07,0.22,0.41
jrdf.csv,0.34,0.13,0.0,0.46,0.19,0.13,0.92,0.48,0.12,0.56,0.65
mecat.csv,0.02,0.09,0.0,0.2,0.19,0.0,0.12,0.02,0.12,0.03,0.0
neodatis-odb.csv,0.73,0.21,0.79,0.94,0.08,0.2,0.22,0.21,0.91,0.25,0.06
synecdoche.csv,0.29,0.59,0.25,0.56,0.12,0.13,0.83,0.44,0.21,0.5,0.71
tycho.csv,0.37,0.67,0.25,0.86,0.42,0.6,0.43,0.06,0.26,0.56,0.18
unicase.csv,0.56,0.8,0.46,0.41,0.88,0.6,0.88,0.82,0.74,0.97,0.62
xcmetadataservicestoolkit.csv,0.73,0.57,0.0,0.61,0.66,0.33,0.97,0.39,0.72,0.78,0.62
