,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.24,0.59,0.46,0.4,0.93,0.3,0.33,0.68,0.72,0.79,0.34
codesmith.csv,0.0,0.22,0.86,0.32,0.27,0.42,0.67,0.37,0.24,0.52,0.83
javaprofiler.csv,1.0,0.81,0.91,0.63,0.93,0.78,0.33,0.83,0.62,0.75,0.48
jpaul.csv,0.94,0.16,0.11,0.33,0.13,0.3,0.33,0.39,0.03,0.59,0.39
jrdf.csv,0.65,0.19,0.0,0.58,0.8,0.32,1.0,0.32,0.21,0.35,0.14
mecat.csv,0.06,0.08,0.0,0.38,0.13,0.25,1.0,0.0,0.21,0.17,0.0
neodatis-odb.csv,0.59,0.73,0.89,0.86,0.13,0.32,0.67,0.32,0.86,0.57,0.12
synecdoche.csv,0.41,0.41,0.34,0.61,0.53,0.32,1.0,0.24,0.62,0.31,0.66
tycho.csv,0.35,0.68,0.8,0.76,0.13,0.5,0.33,0.37,0.34,0.65,0.17
unicase.csv,0.65,0.89,0.34,0.78,0.93,0.85,1.0,0.71,0.69,0.77,0.64
xcmetadataservicestoolkit.csv,0.71,0.59,0.03,0.59,0.47,0.85,0.67,0.17,0.79,0.48,0.19
