,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.75,0.42,0.6,0.57,0.69,0.38,0.33,0.41,0.59,0.5,0.44,0.69,0.48,0.51
flylinkdc.csv,0.71,0.53,0.64,0.49,0.45,0.48,0.53,0.7,0.56,0.59,0.25,0.61,0.61,0.63
grisbi.csv,0.65,0.56,0.69,0.43,0.56,0.13,0.47,0.09,0.84,0.0,0.47,0.8,0.55,0.4
jaolt.csv,0.51,0.56,0.71,0.4,0.42,0.6,0.69,0.66,0.65,0.6,0.13,0.35,0.33,0.62
maidsafe-dht.csv,0.34,0.48,0.71,0.44,0.47,0.42,0.52,0.49,0.75,0.66,0.47,0.41,0.14,0.57
mimosa.csv,0.64,0.3,0.63,0.24,0.52,0.59,0.42,0.79,0.47,0.49,0.05,0.5,0.38,0.39
n2cms.csv,0.7,0.77,0.65,0.43,0.38,0.3,0.74,0.46,0.78,0.48,0.26,0.39,0.36,0.67
nassp.csv,0.37,0.25,0.34,0.33,0.28,0.14,0.69,0.16,0.25,0.19,0.0,0.27,0.51,0.19
nug.csv,0.4,0.62,0.09,0.8,0.01,0.5,0.57,0.16,0.04,0.42,0.26,0.27,0.24,0.38
quantlib.csv,0.0,0.14,0.0,0.24,0.39,0.17,0.09,0.13,0.0,0.04,0.0,0.0,0.63,0.06
red5.csv,0.73,0.21,0.59,0.38,0.64,0.67,0.17,0.09,0.22,0.6,0.17,0.84,0.57,0.62
super-tux.csv,0.26,0.39,0.67,0.59,0.45,0.55,0.67,0.34,0.0,0.56,0.13,0.93,0.45,0.64
tcvp.csv,0.04,0.07,0.09,0.07,0.15,0.06,0.0,0.0,0.0,0.01,0.69,0.0,0.0,0.05
zxing.csv,0.63,0.56,0.68,0.41,0.46,0.3,0.66,0.56,0.58,0.61,0.13,0.38,0.33,0.76
