,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.51,0.29,0.28,0.52,0.31,0.99,0.55,0.45,0.65,0.2,0.0,0.29,0.21,0.59,0.23,0.25,0.44
biopax.csv,0.74,0.26,0.61,0.6,0.39,0.7,0.69,0.45,0.8,0.37,0.16,0.87,0.65,0.73,0.52,0.99,0.63
ffigo.csv,0.65,0.21,0.46,0.53,0.49,0.46,0.71,0.52,0.67,0.45,0.0,0.54,0.98,0.67,0.41,0.62,0.57
freebios.csv,0.65,0.32,1.0,0.56,0.14,0.47,0.39,0.44,0.6,0.78,0.2,0.4,0.64,0.63,0.51,0.45,0.48
glelite.csv,0.78,0.26,0.66,0.6,0.32,0.77,0.6,0.44,0.8,0.45,0.15,1.0,0.78,0.73,0.5,0.88,0.64
gnupdate.csv,0.33,0.24,0.26,0.48,0.95,0.26,0.55,0.4,0.51,0.43,0.12,0.29,0.33,0.38,0.31,0.45,0.6
go.csv,0.97,0.32,0.28,0.57,0.46,0.62,0.69,0.51,0.77,0.28,0.13,0.73,0.69,0.66,0.4,0.46,0.46
gstreamer.csv,0.7,0.27,0.34,0.64,0.22,0.54,0.5,0.45,0.63,0.36,0.12,0.61,0.64,0.98,0.53,0.51,0.66
metacosm.csv,0.31,0.3,0.25,0.45,0.32,0.26,0.5,0.42,0.38,0.38,0.3,0.3,0.38,0.35,0.2,0.48,0.98
pcsx2.csv,0.73,0.25,0.48,0.51,0.34,0.59,0.58,0.46,1.0,0.25,0.0,0.67,0.6,0.63,0.4,0.57,0.6
pgui.csv,0.54,0.22,0.33,0.45,0.37,0.36,0.58,0.94,0.57,0.29,0.09,0.4,0.38,0.3,0.4,0.48,0.59
qse.csv,0.57,0.27,0.32,0.54,0.52,0.46,0.97,0.53,0.67,0.32,0.19,0.47,0.47,0.48,0.31,0.7,0.66
rebecca-aiml.csv,0.61,0.24,0.51,0.44,0.22,0.59,0.48,0.45,0.59,0.96,0.19,0.57,0.68,0.72,0.47,0.67,0.57
skia.csv,0.19,0.1,0.15,0.29,0.0,0.27,0.31,0.17,0.2,0.41,0.27,0.21,0.07,0.1,0.95,0.05,0.12
vars-redux.csv,0.5,0.3,0.39,0.98,0.19,0.3,0.44,0.46,0.57,0.21,0.0,0.28,0.42,0.55,0.35,0.32,0.62
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yale.csv,0.6,0.94,0.61,0.31,0.23,0.6,0.34,0.32,0.43,0.39,0.19,0.61,0.38,0.36,0.37,0.52,0.4
