,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.59,0.57,0.81,0.62,0.43,0.75,0.95,0.51,0.49,0.46,0.47,0.68,0.67,0.45,0.72,0.81
arcallians.csv,0.66,0.54,0.54,0.6,0.73,0.59,0.84,0.48,0.43,0.83,0.6,0.49,0.83,0.52,0.69,0.84
arianne.csv,0.52,0.67,0.59,0.56,0.93,0.61,0.99,0.84,0.45,0.63,0.62,0.85,0.97,0.69,0.55,0.53
aztec.csv,0.55,0.8,0.5,0.92,0.91,0.92,0.95,0.94,0.66,0.63,0.59,0.96,0.89,0.88,0.76,0.91
biopax.csv,0.4,0.4,0.42,0.52,0.46,0.47,0.42,0.48,0.36,0.45,0.38,0.4,0.46,0.48,0.49,0.49
bl-toolkit.csv,0.56,0.5,0.48,0.52,0.72,0.51,0.98,0.39,0.37,0.46,0.4,0.94,0.74,0.51,0.5,0.49
gnupdate.csv,0.87,0.65,0.8,0.69,0.94,0.65,0.97,0.94,0.44,0.9,0.68,0.0,0.9,0.54,0.69,0.76
les-indemodables.csv,0.61,0.48,0.54,0.47,0.5,0.36,0.44,0.46,0.4,0.57,0.37,0.34,0.45,0.6,0.74,0.47
ng4j.csv,0.81,0.52,0.65,0.6,0.66,0.56,0.94,0.51,0.45,0.51,0.52,0.42,0.58,0.47,0.62,0.79
openxava.csv,0.6,0.59,0.68,0.74,0.61,0.95,0.46,0.93,0.83,0.57,0.48,0.45,0.44,0.57,0.71,0.67
phonon-vlc-mplayer.csv,0.64,0.52,0.47,0.57,0.9,0.62,0.98,0.53,0.61,0.63,0.73,0.38,0.67,0.5,0.58,0.65
qgis.csv,0.62,0.55,0.58,0.71,0.6,0.47,0.54,0.57,0.57,0.8,0.55,0.45,0.5,0.58,0.7,0.48
rsyslog.csv,0.54,0.56,0.5,0.58,0.54,0.42,0.52,0.89,0.42,0.67,0.47,0.39,0.63,0.55,0.78,0.62
vars-redux.csv,0.96,0.79,0.73,0.6,0.96,0.89,0.91,0.34,0.5,0.75,0.85,0.84,0.74,0.5,0.84,0.9
xapian.csv,0.6,0.47,0.66,0.74,0.64,0.53,0.56,0.8,0.48,0.65,0.53,0.48,0.84,0.51,0.53,0.61
xqilla.csv,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.88,0.67,0.0,0.0,0.0,0.0
