,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,4.0,0.0,1.0,1.0,0.0,2.0,17.0,2.0,1.0,0.0,0.0,17.0,5.0,3.0,1.0,1.0
arcallians.csv,0.0,0.0,5.0,5.0,4.0,0.0,41.0,33.0,1.0,1.0,0.0,25.0,5.0,3.0,0.0,0.0
arianne.csv,0.0,4.0,0.0,2.0,5.0,0.0,24.0,0.0,0.0,2.0,0.0,38.0,2.0,0.0,3.0,7.0
aztec.csv,0.0,171.0,1.0,0.0,8.0,0.0,0.0,50.0,2.0,4.0,0.0,24.0,1.0,2.0,1.0,12.0
biopax.csv,15.0,0.0,3.0,4.0,25.0,0.0,13.0,33.0,3.0,0.0,0.0,49.0,3.0,0.0,0.0,13.0
bl-toolkit.csv,1.0,0.0,0.0,4.0,2.0,0.0,10.0,1.0,1.0,1.0,0.0,119.0,4.0,0.0,1.0,5.0
gnupdate.csv,5.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,119.0,0.0,1.0,1.0,6.0
les-indemodables.csv,0.0,0.0,0.0,0.0,10.0,0.0,21.0,4.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,5.0
ng4j.csv,0.0,0.0,1.0,1.0,4.0,5.0,11.0,31.0,1.0,4.0,0.0,24.0,8.0,1.0,0.0,0.0
openxava.csv,0.0,0.0,0.0,11.0,12.0,1.0,25.0,0.0,2.0,3.0,1.0,13.0,6.0,3.0,0.0,1.0
phonon-vlc-mplayer.csv,0.0,0.0,0.0,6.0,0.0,0.0,2.0,87.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,7.0
qgis.csv,2.0,0.0,0.0,4.0,4.0,0.0,17.0,31.0,0.0,0.0,0.0,41.0,1.0,1.0,1.0,4.0
rsyslog.csv,0.0,0.0,0.0,0.0,1.0,0.0,83.0,4.0,0.0,6.0,0.0,35.0,0.0,0.0,0.0,4.0
vars-redux.csv,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,18.0,4.0,3.0,0.0,1.0
xapian.csv,0.0,0.0,0.0,4.0,5.0,0.0,15.0,45.0,1.0,0.0,1.0,34.0,0.0,4.0,2.0,1.0
xqilla.csv,203.0,0.0,0.0,0.0,256.0,83.0,1.0,147.0,115.0,105.0,0.0,0.0,113.0,101.0,90.0,78.0
