,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.88,0.74,0.94,0.49,0.35,0.58,0.36,0.59,0.39,0.44,0.55
codesmith.csv,0.8,0.58,0.39,0.59,0.38,0.39,0.41,0.47,0.4,0.52,0.45
javaprofiler.csv,0.51,0.42,0.45,0.46,0.36,0.35,0.46,0.48,0.41,0.52,0.48
jpaul.csv,0.45,0.83,0.0,0.83,0.91,0.65,0.0,0.65,0.0,0.71,0.77
jrdf.csv,0.52,0.95,0.0,0.56,0.59,0.85,0.36,0.79,0.89,0.74,0.6
mecat.csv,0.67,0.89,0.0,0.57,0.86,0.78,0.82,0.0,0.71,0.9,0.0
neodatis-odb.csv,0.47,0.71,0.49,0.45,0.83,0.72,0.79,0.67,0.38,0.7,0.92
synecdoche.csv,0.42,0.44,0.45,0.37,0.56,0.62,0.35,0.59,0.61,0.74,0.39
tycho.csv,0.8,0.84,0.55,0.73,0.86,0.72,0.8,0.92,0.95,0.85,0.5
unicase.csv,0.44,0.43,0.49,0.43,0.33,0.34,0.34,0.46,0.41,0.4,0.39
xcmetadataservicestoolkit.csv,0.65,0.47,0.92,0.53,0.58,0.42,0.35,0.87,0.43,0.54,0.63
