,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.61,0.25,0.48,0.37,0.99,0.25,0.49,0.3,0.53,0.41,0.64,0.43,0.52,0.34
flylinkdc.csv,1.0,0.29,0.47,0.55,0.32,0.25,0.66,0.04,0.5,0.23,0.26,0.38,0.14,0.21
grisbi.csv,0.69,0.55,0.63,0.39,0.67,0.13,0.47,0.51,0.98,0.0,0.6,0.6,0.51,0.39
jaolt.csv,0.71,0.56,0.68,0.57,0.59,0.52,0.63,0.59,0.57,0.98,0.55,0.57,0.45,0.6
maidsafe-dht.csv,0.35,0.1,1.0,0.15,0.26,0.09,0.1,0.13,0.13,0.15,0.0,0.12,0.25,0.15
mimosa.csv,0.46,0.54,0.51,0.42,0.64,0.58,0.66,0.98,0.65,0.57,0.58,0.53,0.48,0.35
n2cms.csv,0.61,1.0,0.67,0.39,0.47,0.37,0.65,0.27,0.64,0.42,0.52,0.45,0.2,0.64
nassp.csv,0.48,0.36,0.48,0.4,0.28,0.41,0.86,0.38,0.22,0.5,0.0,0.13,0.2,0.25
nug.csv,0.39,0.36,0.25,0.95,0.32,0.27,0.29,0.21,0.14,0.23,0.0,0.31,0.05,0.09
quantlib.csv,0.47,0.56,0.25,0.21,0.27,0.41,0.29,0.4,0.18,0.47,0.0,0.3,0.93,0.0
red5.csv,0.48,0.43,0.25,0.34,0.26,0.98,0.1,0.46,0.0,0.55,0.25,0.37,0.14,0.59
super-tux.csv,0.05,0.56,0.0,0.0,0.0,0.53,0.0,0.63,0.0,0.51,0.0,1.0,0.05,0.31
tcvp.csv,0.38,0.33,0.25,0.31,0.25,0.33,0.45,0.31,0.39,0.25,0.91,0.13,0.33,0.38
zxing.csv,0.63,0.48,0.72,0.4,0.49,0.52,0.64,0.55,0.67,0.64,0.58,0.39,0.41,0.97
