,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.86,0.21,0.5,0.88,1.0,0.21,0.67,0.26,0.86,0.37,1.0,0.61,0.75,0.3
flylinkdc.csv,1.0,0.25,0.43,0.53,0.28,0.21,0.67,0.03,0.45,0.19,0.22,0.33,0.12,0.18
grisbi.csv,0.81,0.77,0.86,0.59,0.69,0.91,1.0,0.89,0.98,0.96,0.89,0.56,0.88,0.88
jaolt.csv,0.86,0.58,0.71,0.59,0.6,0.67,0.67,0.68,0.59,0.97,0.89,0.56,0.46,0.62
maidsafe-dht.csv,0.3,0.08,1.0,0.12,0.22,0.07,0.08,0.11,0.11,0.12,0.0,0.1,0.21,0.12
mimosa.csv,0.46,0.6,0.5,0.41,0.79,0.79,0.83,0.97,0.95,0.88,0.89,0.49,0.46,0.34
n2cms.csv,0.59,1.0,0.71,0.41,0.42,0.33,0.67,0.24,0.62,0.37,0.56,0.41,0.17,0.66
nassp.csv,0.43,0.31,0.43,0.35,0.24,0.37,0.83,0.34,0.18,0.47,0.0,0.11,0.17,0.21
nug.csv,0.35,0.33,0.21,0.94,0.28,0.23,0.25,0.18,0.12,0.19,0.0,0.29,0.04,0.07
quantlib.csv,0.43,0.75,0.21,0.18,0.23,0.79,0.25,0.74,0.15,0.68,0.0,0.26,0.92,0.64
red5.csv,0.46,0.4,0.21,0.29,0.22,0.98,0.08,0.45,0.0,0.52,0.22,0.34,0.12,0.55
super-tux.csv,1.0,0.65,1.0,1.0,1.0,0.65,1.0,0.61,1.0,0.64,1.0,1.0,1.0,0.27
tcvp.csv,0.35,0.29,0.21,0.29,0.22,0.3,0.42,0.32,0.36,0.22,0.89,0.11,0.29,0.36
zxing.csv,0.65,0.5,0.79,0.41,0.44,0.49,0.67,0.68,0.64,0.78,0.67,0.35,0.38,0.96
