,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.5,0.9,0.62,0.52,0.59,0.93,0.77,0.58,0.33,0.48,0.82,0.32,0.66,0.45,0.21,0.47,0.0,0.35
alsa.csv,0.61,0.75,0.59,0.37,0.56,0.75,0.64,0.59,0.18,0.62,0.58,0.55,0.79,0.55,0.17,0.49,0.16,0.43
boost.csv,0.52,0.57,0.63,0.49,0.47,0.82,0.66,0.45,0.14,0.6,0.65,0.56,0.92,0.52,0.19,0.54,0.15,0.43
fmri-dmt.csv,0.41,0.87,0.6,0.5,0.35,0.63,0.58,0.12,0.09,0.47,0.55,0.33,0.87,0.43,0.42,0.38,0.0,0.25
genecys.csv,0.29,0.76,0.4,0.24,0.56,0.82,0.61,0.64,0.12,0.51,0.78,0.3,0.5,0.39,0.18,0.44,0.19,0.31
gusanos.csv,0.4,0.38,0.54,0.27,0.1,0.78,0.55,0.59,0.21,0.48,0.85,0.38,0.61,0.51,0.18,0.35,0.0,0.39
hatari.csv,0.51,0.31,0.65,0.49,0.65,0.8,0.72,0.62,0.14,0.54,0.4,0.5,0.45,0.61,0.16,0.44,0.22,0.45
n2cms.csv,0.72,0.32,0.58,0.32,0.6,0.71,0.67,0.65,0.17,0.19,0.65,0.5,0.66,0.51,0.17,0.58,0.23,0.42
nug.csv,0.61,0.88,0.59,0.65,0.66,0.28,0.77,0.2,0.13,0.21,0.81,0.32,0.98,0.51,0.16,0.48,0.24,0.2
nuttx.csv,0.28,0.79,0.28,0.36,0.51,0.53,0.48,0.63,0.18,0.37,0.79,0.41,0.9,0.25,0.12,0.42,0.2,0.3
proftp.csv,0.04,0.03,0.07,0.18,0.7,0.56,0.1,0.77,0.17,0.21,0.24,0.29,0.0,0.46,0.11,0.17,0.34,0.34
pydev.csv,0.62,0.22,0.61,0.29,0.63,0.72,0.38,0.71,0.17,0.37,0.49,0.52,0.57,0.62,0.18,0.59,0.23,0.54
tcl.csv,0.47,0.8,0.47,0.38,0.7,0.77,0.01,0.54,0.12,0.45,0.55,0.27,0.17,0.36,0.14,0.48,0.12,0.0
truevision.csv,0.43,0.02,0.52,0.43,0.0,0.77,0.16,0.62,0.29,0.46,0.65,0.65,0.96,0.47,0.2,0.51,0.05,0.45
uclmda.csv,0.0,0.28,0.0,0.0,0.0,0.03,0.07,0.18,0.0,0.08,0.39,0.05,1.0,0.04,0.0,0.29,0.0,0.03
uwom.csv,0.52,0.43,0.56,0.5,0.0,0.3,0.11,0.58,0.14,0.53,0.18,0.56,0.9,0.51,0.22,0.51,0.06,0.61
wxjs.csv,0.07,0.0,0.0,0.0,0.38,0.0,0.06,0.33,0.0,0.01,0.03,0.05,0.01,0.13,0.07,0.05,0.47,0.0
wxstudio.csv,0.27,0.59,0.39,0.32,0.54,0.26,0.55,0.24,0.18,0.26,0.56,0.35,0.98,0.37,0.19,0.73,0.21,0.16
