,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.23,0.43,0.24,0.37,0.36,0.33,0.08,0.19,0.0,0.21,1.0,0.33
echongl.csv,0.28,0.46,0.62,0.42,0.79,0.58,0.99,0.03,0.42,0.65,0.1,0.24
hazelcast.csv,0.53,1.0,0.62,0.66,0.74,0.87,0.78,0.27,0.67,0.82,0.23,0.34
japano.csv,0.49,0.91,0.69,0.65,1.0,0.89,0.73,0.23,0.7,0.77,0.25,0.33
jmol.csv,0.53,0.8,0.12,0.6,0.66,0.99,0.3,0.4,0.38,0.69,0.26,0.4
mobicents.csv,0.54,0.51,0.24,0.98,0.66,0.6,0.67,0.44,0.46,0.6,0.44,0.48
nunit.csv,0.42,0.61,0.38,0.52,0.48,0.55,0.23,0.37,0.3,0.33,0.5,0.96
openefm.csv,0.95,0.69,0.7,0.53,0.57,0.5,0.3,0.37,0.52,0.73,0.31,0.31
snakeyaml.csv,0.35,0.55,0.75,0.58,0.72,0.64,0.42,0.92,0.59,0.56,0.26,0.27
trackit.csv,0.27,0.62,0.99,0.37,0.39,0.3,0.55,0.15,0.52,0.56,0.14,0.23
unicase.csv,0.5,0.79,0.57,0.63,0.82,0.82,0.82,0.1,0.3,0.99,0.25,0.42
wheat.csv,0.37,0.67,0.46,0.42,0.66,0.45,0.51,0.19,0.96,0.47,0.43,0.32
