,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.9,0.7,0.88,0.88,0.97,0.82,0.8,0.8,0.0,0.99,0.88,0.98
echongl.csv,0.79,0.79,0.8,0.73,0.7,0.7,0.37,0.86,0.55,0.59,0.62,0.5
hazelcast.csv,0.37,0.35,0.37,0.34,0.33,0.32,0.32,0.37,0.32,0.34,0.37,0.31
japano.csv,0.39,0.41,0.44,0.38,0.49,0.33,0.35,0.43,0.35,0.44,0.39,0.37
jmol.csv,0.51,0.37,0.89,0.4,0.42,0.37,0.85,0.7,0.58,0.36,0.38,0.46
mobicents.csv,0.56,0.67,0.89,0.52,0.63,0.54,0.43,0.74,0.82,0.53,0.54,0.63
nunit.csv,0.56,0.58,0.78,0.72,0.63,0.61,0.94,0.65,0.92,0.84,0.56,0.92
openefm.csv,0.62,0.56,0.48,0.55,0.75,0.62,0.82,0.55,0.78,0.46,0.58,0.67
snakeyaml.csv,0.58,0.69,0.6,0.58,0.76,0.51,0.64,0.96,0.52,0.64,0.78,0.49
trackit.csv,0.63,0.59,0.52,0.66,0.76,0.96,0.77,0.62,0.5,0.57,0.76,0.57
unicase.csv,0.43,0.44,0.47,0.42,0.48,0.37,0.31,0.64,0.67,0.43,0.42,0.48
wheat.csv,0.49,0.55,0.7,0.68,0.61,0.66,0.48,0.86,0.54,0.66,0.67,0.49
