,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.18,0.32,0.18,0.31,0.26,0.24,0.05,0.13,0.0,0.15,1.0,0.39
echongl.csv,0.33,0.23,0.56,0.4,0.61,0.48,0.99,0.08,0.39,0.51,0.27,0.43
hazelcast.csv,0.52,1.0,0.42,0.35,0.45,0.17,0.29,0.52,0.56,0.67,0.41,0.49
japano.csv,0.27,0.0,0.31,0.09,1.0,0.17,0.2,0.27,0.0,0.23,0.24,0.05
jmol.csv,0.6,0.71,0.09,0.6,0.49,0.98,0.22,0.56,0.35,0.6,0.61,0.62
mobicents.csv,0.62,0.39,0.18,0.97,0.54,0.5,0.59,0.63,0.37,0.52,0.89,0.59
nunit.csv,0.46,0.47,0.32,0.44,0.37,0.45,0.16,0.52,0.25,0.25,0.76,0.93
openefm.csv,0.95,0.3,0.55,0.51,0.45,0.4,0.23,0.72,0.47,0.37,0.62,0.45
snakeyaml.csv,0.45,0.35,0.7,0.57,0.58,0.51,0.33,0.88,0.56,0.46,0.52,0.47
trackit.csv,0.33,0.49,0.99,0.35,0.29,0.22,0.43,0.41,0.5,0.47,0.28,0.4
unicase.csv,0.56,0.69,0.45,0.57,0.0,0.47,0.3,0.28,0.28,0.98,0.61,0.67
wheat.csv,0.44,0.57,0.38,0.39,0.46,0.35,0.42,0.26,0.94,0.39,0.65,0.57
