,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.45,0.68,0.89,0.71,0.58,0.95,0.9,0.88,0.0,0.47,0.62,0.89
echongl.csv,0.6,0.75,0.73,0.59,0.67,0.74,0.36,0.96,0.83,0.43,0.72,0.56
hazelcast.csv,0.36,0.33,0.34,0.33,0.34,0.33,0.34,0.34,0.31,0.33,0.37,0.32
japano.csv,0.49,0.61,0.46,0.52,0.57,0.39,0.41,0.44,0.37,0.63,0.45,0.57
jmol.csv,0.43,0.45,0.5,0.4,0.48,0.42,0.29,0.41,0.54,0.43,0.39,0.4
mobicents.csv,0.4,0.47,0.49,0.44,0.38,0.35,0.3,0.59,0.59,0.41,0.38,0.47
nunit.csv,0.53,0.45,0.9,0.49,0.43,0.42,0.75,0.75,0.39,0.93,0.44,0.64
openefm.csv,0.5,0.47,0.54,0.43,0.71,0.95,0.79,0.95,0.59,0.97,0.8,0.65
snakeyaml.csv,0.83,0.73,0.86,0.81,0.8,0.57,0.83,0.62,0.69,0.98,0.61,0.94
trackit.csv,0.93,0.68,0.51,0.99,0.93,0.97,0.86,0.8,0.5,0.98,0.83,0.69
unicase.csv,0.45,0.47,0.49,0.45,0.56,0.43,0.49,0.42,0.48,0.43,0.37,0.48
wheat.csv,0.41,0.5,0.61,0.47,0.46,0.63,0.32,0.51,0.46,0.7,0.62,0.47
