,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.63,0.79,0.64,0.87,0.5,0.57,0.89,0.73,0.44,0.61,0.91,0.42,0.74,0.43
flylinkdc.csv,0.39,0.81,0.52,0.78,0.69,0.81,0.89,0.62,0.55,0.81,0.86,0.56,0.55,0.72
grisbi.csv,0.74,0.75,0.72,0.87,0.73,0.97,0.98,0.98,0.21,1.0,0.78,0.8,0.92,0.94
jaolt.csv,0.5,0.7,0.58,1.0,0.56,0.88,0.82,0.98,0.32,0.54,0.75,0.69,0.56,0.94
maidsafe-dht.csv,0.71,0.65,0.41,0.84,0.61,0.85,0.55,0.74,0.22,0.6,1.0,0.74,0.95,0.62
mimosa.csv,0.56,0.92,0.73,0.94,0.74,0.8,0.87,0.3,0.66,0.82,0.99,0.82,0.92,0.94
n2cms.csv,0.67,0.36,0.49,0.92,0.64,0.61,0.68,0.69,0.31,0.57,0.8,0.66,0.69,0.48
nassp.csv,0.68,0.82,0.72,0.7,0.74,0.91,0.36,0.86,0.71,0.82,1.0,0.79,0.58,0.74
nug.csv,0.54,0.8,0.88,0.39,0.86,0.6,0.83,0.75,1.0,0.75,0.9,0.52,0.74,0.89
quantlib.csv,1.0,1.0,0.93,1.0,0.76,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.46,1.0
red5.csv,0.75,0.96,0.7,0.89,0.78,0.43,1.0,1.0,1.0,0.77,0.97,0.22,0.86,0.59
super-tux.csv,0.94,0.72,0.67,0.71,0.83,0.58,0.6,0.9,1.06,0.69,0.97,0.08,0.87,0.63
tcvp.csv,0.97,0.94,0.93,1.0,0.9,0.95,1.0,1.0,1.0,0.99,0.38,0.99,1.0,0.97
zxing.csv,0.52,0.59,0.59,0.83,0.59,0.7,0.63,0.89,0.51,0.51,0.88,0.53,0.76,0.34
