,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.6,0.18,0.6,0.83,0.44,0.1,0.89,0.31,0.36,0.28,0.85,0.2,0.68,0.12
flylinkdc.csv,0.21,0.8,0.5,0.72,0.18,0.76,0.89,0.62,0.0,0.79,0.38,0.2,0.4,0.59
grisbi.csv,0.73,0.7,0.72,0.83,0.69,0.97,0.98,0.98,0.14,1.0,0.74,0.8,0.92,0.94
jaolt.csv,0.32,0.57,0.5,0.81,0.23,0.86,0.8,0.98,0.29,0.45,0.34,0.2,0.42,0.94
maidsafe-dht.csv,0.12,0.24,0.2,0.69,0.23,0.83,0.43,0.69,0.07,0.24,0.0,0.0,0.36,0.59
mimosa.csv,0.43,0.92,0.72,0.94,0.64,0.79,0.87,0.24,0.36,0.76,0.99,0.8,0.88,0.76
n2cms.csv,0.65,0.23,0.4,0.75,0.13,0.24,0.67,0.52,0.29,0.28,0.2,0.2,0.47,0.35
nassp.csv,0.11,0.11,0.12,0.28,0.1,0.1,0.26,0.26,0.0,0.07,0.03,0.2,0.03,0.24
nug.csv,0.35,0.78,0.22,0.31,0.15,0.48,0.72,0.67,0.0,0.59,0.16,0.2,0.45,0.76
quantlib.csv,1.0,0.05,0.0,1.0,0.23,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.26,0.0
red5.csv,0.75,0.96,0.67,0.89,0.77,0.28,1.0,1.0,0.93,0.76,0.96,0.2,0.85,0.53
super-tux.csv,0.93,0.32,0.67,0.67,0.82,0.38,0.54,0.67,1.0,0.59,0.97,0.0,0.86,0.59
tcvp.csv,0.02,0.04,0.02,0.0,0.1,0.0,0.07,0.0,0.0,0.03,0.19,0.0,0.02,0.06
zxing.csv,0.36,0.47,0.52,0.58,0.23,0.17,0.61,0.86,0.14,0.41,0.42,0.2,0.28,0.24
