,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.82,0.78,0.81,0.55,0.97,0.62,0.86,0.38,0.48,0.53,0.46,0.59,0.93,0.45,0.73,0.88
arcallians.csv,0.82,0.56,0.56,0.57,0.82,0.58,0.97,0.36,0.47,0.79,0.75,0.75,0.83,0.6,0.77,0.93
arianne.csv,0.52,0.7,0.53,0.52,0.86,0.63,0.99,0.46,0.48,0.53,0.48,0.97,0.96,0.78,0.67,0.73
aztec.csv,0.45,0.93,0.67,0.0,0.93,0.61,0.96,0.72,0.42,0.0,0.0,0.92,0.89,0.95,0.46,0.45
biopax.csv,0.48,0.43,0.46,0.55,0.48,0.5,0.44,0.48,0.36,0.55,0.56,0.36,0.42,0.47,0.49,0.53
bl-toolkit.csv,0.55,0.48,0.48,0.46,0.78,0.33,0.88,0.49,0.42,0.4,0.4,0.72,0.69,0.5,0.47,0.5
gnupdate.csv,0.9,0.61,0.77,0.76,0.86,0.68,0.98,0.61,0.46,0.95,0.98,0.86,0.88,0.47,0.76,0.86
les-indemodables.csv,0.97,0.49,0.5,0.62,0.68,0.5,0.52,0.54,0.47,0.58,0.61,0.34,0.61,0.59,0.68,0.92
ng4j.csv,0.69,0.54,0.81,0.55,0.6,0.8,0.95,0.73,0.42,0.68,0.97,0.67,0.73,0.51,0.57,0.82
openxava.csv,0.65,0.75,0.89,0.0,0.87,0.0,0.66,0.94,0.83,0.67,0.5,0.55,0.57,0.83,0.5,0.64
phonon-vlc-mplayer.csv,0.57,0.58,0.52,0.59,0.9,0.93,0.97,0.54,0.46,0.59,0.63,0.6,0.91,0.54,0.55,0.57
qgis.csv,0.67,0.54,0.61,0.57,0.74,0.33,0.76,0.5,0.53,0.5,0.44,0.43,0.77,0.57,0.74,0.76
rsyslog.csv,0.62,0.5,0.48,0.58,0.59,0.59,0.96,0.78,0.52,0.68,0.58,0.35,0.78,0.53,0.77,0.65
vars-redux.csv,0.97,0.88,0.78,0.67,0.96,0.91,0.86,0.52,0.5,0.61,0.78,0.79,0.92,0.83,0.91,0.88
xapian.csv,0.73,0.52,0.6,0.56,0.79,0.61,0.56,0.57,0.5,0.92,0.94,0.39,0.83,0.67,0.68,0.92
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
