,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.25,0.52,0.0,0.2,0.58,0.06,0.33,0.42,0.35,0.58,0.44,0.02,0.51,0.22
jicarilla.csv,0.0,0.05,0.85,0.0,0.11,0.07,0.0,0.0,0.04,0.09,0.0,0.0,0.06,0.29
jmule.csv,0.1,0.49,0.04,0.16,0.61,0.36,0.44,0.44,0.36,0.76,0.36,0.07,0.62,0.85
micomt.csv,0.06,0.49,0.64,0.13,0.62,0.39,0.45,0.47,0.65,0.76,0.34,0.12,0.47,0.63
migen.csv,0.1,0.21,0.19,0.18,0.63,0.42,0.15,0.25,0.29,0.63,0.37,0.08,0.51,0.08
mvnforum.csv,0.0,0.36,0.16,0.02,0.42,0.05,0.48,0.34,0.3,0.63,0.25,0.1,0.31,0.0
ng4j.csv,0.07,0.56,0.0,0.15,0.6,0.38,0.47,0.49,0.56,0.74,0.41,0.15,0.61,0.61
open-data-kit.csv,0.08,0.53,0.08,0.14,0.56,0.34,0.39,0.51,0.36,0.77,0.39,0.09,0.48,0.64
opennms.csv,0.14,0.39,0.05,0.23,0.35,0.53,0.0,0.12,0.08,0.43,0.0,0.07,0.31,0.6
ossim.csv,0.08,0.45,0.39,0.26,0.4,0.38,0.11,0.2,0.07,0.4,0.15,0.07,0.27,0.61
plplot.csv,0.07,0.49,0.05,0.06,0.56,0.24,0.5,0.54,0.35,0.62,0.35,0.02,0.47,0.15
qedo.csv,0.0,0.14,0.45,0.04,0.31,0.23,0.08,0.18,0.07,0.07,0.0,0.39,0.0,0.34
tradelink.csv,0.04,0.33,0.25,0.02,0.53,0.23,0.52,0.48,0.33,0.66,0.44,0.1,0.36,0.16
wgs-assembler.csv,0.13,0.49,0.0,0.17,0.53,0.25,0.31,0.44,0.43,0.62,0.34,0.04,0.45,0.49
