,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.77,0.68,0.62,0.88,1.02,0.71,0.98,0.44,0.98,0.97,0.77
codesmith.csv,1.01,0.54,1.01,0.58,0.86,0.82,0.53,0.79,0.66,0.61,0.28
javaprofiler.csv,0.85,0.94,0.96,0.89,0.99,0.94,0.92,0.64,0.91,0.33,0.71
jpaul.csv,0.27,0.86,0.97,0.82,1.0,0.91,1.0,0.95,1.0,0.58,0.61
jrdf.csv,0.68,0.82,1.0,0.63,0.44,0.75,0.9,0.79,0.81,0.89,0.96
mecat.csv,0.88,0.87,1.0,0.7,0.88,0.78,0.13,1.0,0.8,0.88,1.0
neodatis-odb.csv,0.83,0.47,0.75,0.91,0.87,0.71,0.46,0.67,0.87,0.44,0.94
synecdoche.csv,0.63,0.82,0.64,0.7,0.55,0.61,0.9,0.87,0.42,0.81,0.79
tycho.csv,0.93,0.71,0.33,0.83,0.95,0.82,0.7,0.68,0.74,0.58,0.94
unicase.csv,0.68,0.84,0.92,0.48,0.85,0.75,0.87,0.84,0.86,1.0,0.71
xcmetadataservicestoolkit.csv,0.81,0.71,0.91,0.81,0.73,0.38,1.0,0.95,0.64,0.96,0.97
