,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.25,0.3,0.41,0.29,0.25,0.28,0.25,0.38,0.39,0.2,0.13,0.27,0.25,0.25,0.22,0.26,0.24
delphilhlplib.csv,0.29,0.27,0.21,0.33,0.22,0.16,0.2,0.33,0.27,0.19,0.32,0.19,0.27,0.2,0.38,0.21,0.3
exordium.csv,0.29,0.37,0.19,0.29,0.23,0.24,0.25,0.3,0.39,0.19,0.39,0.19,0.3,0.24,0.18,0.19,0.2
fltk.csv,0.27,0.24,0.27,0.21,0.31,0.18,0.2,0.32,0.32,0.15,0.47,0.24,0.22,0.2,0.38,0.29,0.28
genoviz.csv,0.19,0.37,0.22,0.08,0.2,0.26,0.15,0.13,0.2,0.25,0.41,0.12,0.18,0.15,0.24,0.33,0.14
gzigzag.csv,0.22,0.2,0.15,0.12,0.18,0.12,0.23,0.14,0.12,0.17,0.11,0.18,0.15,0.17,0.16,0.16,0.2
irrlicht.csv,0.33,0.38,0.41,0.41,0.39,0.34,0.32,0.32,0.43,0.38,0.46,0.43,0.39,0.37,0.38,0.36,0.32
moast.csv,0.29,0.15,0.41,0.35,0.33,0.26,0.32,0.37,0.43,0.34,0.28,0.34,0.29,0.37,0.38,0.25,0.22
mptvseries.csv,0.24,0.34,0.26,0.24,0.15,0.2,0.25,0.24,0.26,0.18,0.46,0.22,0.2,0.2,0.36,0.15,0.2
openfrag.csv,0.3,0.37,0.23,0.33,0.27,0.14,0.27,0.32,0.12,0.18,0.2,0.28,0.25,0.2,0.38,0.27,0.3
qdvdauthor.csv,0.21,0.28,0.38,0.31,0.26,0.28,0.22,0.38,0.43,0.18,0.17,0.35,0.28,0.27,0.37,0.3,0.22
qse.csv,0.25,0.32,0.31,0.31,0.31,0.2,0.27,0.31,0.2,0.17,0.33,0.18,0.24,0.19,0.38,0.29,0.24
sauerbraten.csv,0.24,0.35,0.42,0.39,0.38,0.34,0.3,0.43,0.43,0.36,0.41,0.4,0.34,0.37,0.38,0.33,0.2
toped.csv,0.32,0.37,0.41,0.39,0.38,0.3,0.27,0.42,0.39,0.29,0.43,0.41,0.34,0.32,0.38,0.33,0.32
truevision.csv,0.3,0.28,0.32,0.35,0.24,0.24,0.25,0.34,0.12,0.19,0.3,0.24,0.26,0.22,0.38,0.22,0.3
zoolib.csv,0.27,0.37,0.2,0.27,0.28,0.16,0.2,0.28,0.18,0.16,0.27,0.15,0.26,0.2,0.38,0.3,0.26
zxing.csv,0.17,0.34,0.19,0.08,0.16,0.18,0.15,0.13,0.28,0.17,0.12,0.11,0.13,0.17,0.09,0.22,0.16
