,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.77,0.62,0.73,0.46,0.42,0.53,0.86,0.75,0.63,0.56,0.12,0.65,0.77,0.78,0.54,0.75,0.22
delphilhlplib.csv,0.76,0.88,0.55,0.47,0.37,0.61,0.61,0.71,0.33,0.57,0.28,0.58,0.63,0.59,0.96,0.6,0.18
exordium.csv,0.76,0.84,0.53,0.64,0.41,0.47,0.8,0.67,0.16,0.46,0.21,0.56,0.64,0.48,0.41,0.51,0.31
fltk.csv,0.76,0.51,0.73,0.55,0.37,0.59,0.72,0.67,0.71,0.46,0.16,0.67,0.62,0.69,0.94,0.67,0.3
genoviz.csv,0.54,0.75,0.26,0.31,0.48,0.09,0.4,0.31,0.36,0.36,0.12,0.26,0.52,0.44,0.59,0.1,0.67
gzigzag.csv,0.75,0.65,0.47,0.4,0.38,0.45,0.83,0.42,0.67,0.54,0.08,0.59,0.51,0.54,0.35,0.53,0.22
irrlicht.csv,0.76,0.85,0.72,0.4,0.38,0.55,0.92,0.75,0.6,0.52,0.15,0.71,0.71,0.81,0.94,0.87,0.18
moast.csv,0.24,0.37,0.6,0.28,0.38,0.23,0.9,0.57,0.6,0.23,0.09,0.58,0.22,0.27,0.98,0.52,0.18
mptvseries.csv,0.82,0.07,0.71,0.61,0.39,0.62,0.77,0.54,0.76,0.51,0.16,0.63,0.64,0.53,0.11,0.4,0.26
openfrag.csv,0.77,0.83,0.56,0.5,0.34,0.57,0.91,0.74,0.53,0.67,0.2,0.74,0.68,0.57,0.86,0.55,0.17
qdvdauthor.csv,0.51,0.34,0.63,0.41,0.34,0.65,0.77,0.67,0.6,0.49,0.17,0.64,0.72,0.81,0.85,0.72,0.11
qse.csv,0.74,0.63,0.71,0.54,0.38,0.62,0.91,0.68,0.79,0.53,0.21,0.54,0.56,0.49,0.95,0.78,0.16
sauerbraten.csv,0.79,0.39,0.7,0.41,0.4,0.49,0.79,0.77,0.56,0.49,0.15,0.67,0.75,0.75,0.95,0.73,0.1
toped.csv,0.8,0.77,0.63,0.43,0.35,0.58,0.89,0.74,0.63,0.36,0.2,0.67,0.71,0.76,0.94,0.65,0.2
truevision.csv,0.77,0.67,0.72,0.48,0.39,0.62,0.82,0.76,0.56,0.64,0.24,0.63,0.63,0.66,0.94,0.73,0.17
zoolib.csv,0.77,0.74,0.52,0.49,0.38,0.6,0.71,0.59,0.44,0.42,0.34,0.4,0.58,0.5,0.95,0.25,0.3
zxing.csv,0.61,0.47,0.56,0.3,0.35,0.5,0.53,0.39,0.29,0.51,0.1,0.29,0.46,0.67,0.16,0.81,0.36
