,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.69,0.71,0.58,0.33,0.3,0.41,0.93,0.76,0.48,0.48,0.1,0.62,0.79,0.78,0.87,0.9,0.12
delphilhlplib.csv,0.64,0.92,0.79,0.31,0.28,0.65,0.92,0.79,1.0,0.58,0.17,0.85,0.65,0.71,0.93,0.93,0.1
exordium.csv,0.64,0.78,0.83,0.49,0.29,0.42,0.9,0.86,1.0,0.56,0.12,0.82,0.61,0.62,0.85,0.87,0.19
fltk.csv,0.68,0.77,0.78,0.44,0.25,0.61,0.94,0.82,0.58,0.68,0.2,0.79,0.79,0.8,0.91,0.82,0.18
genoviz.csv,0.71,0.72,0.84,0.57,0.36,0.25,0.93,0.8,0.89,0.75,0.16,0.58,0.83,0.86,0.92,1.0,0.5
gzigzag.csv,0.7,0.85,0.66,0.44,0.31,0.58,0.89,0.83,0.95,0.68,0.06,0.74,0.69,0.74,0.7,0.91,0.13
irrlicht.csv,0.62,0.75,0.57,0.25,0.24,0.38,0.85,0.83,0.43,0.35,0.08,0.55,0.55,0.68,0.89,0.77,0.1
moast.csv,0.6,1.0,0.55,0.23,0.25,0.25,0.86,0.79,0.43,0.24,0.07,0.67,0.34,0.64,0.99,0.76,0.1
mptvseries.csv,0.76,1.0,0.76,0.5,0.41,0.6,0.94,0.82,0.66,0.82,0.2,0.87,0.81,0.71,1.0,1.0,0.15
openfrag.csv,0.63,0.75,0.64,0.35,0.24,0.62,0.9,0.83,0.93,0.71,0.13,0.77,0.71,0.78,0.9,0.82,0.1
qdvdauthor.csv,0.75,0.54,0.55,0.31,0.29,0.53,0.94,0.77,0.43,0.53,0.12,0.59,0.73,0.84,0.99,0.92,0.08
qse.csv,0.67,0.74,0.66,0.39,0.25,0.6,0.9,0.79,0.82,0.47,0.12,0.69,0.6,0.71,0.9,0.84,0.09
sauerbraten.csv,0.81,0.53,0.56,0.27,0.25,0.36,0.84,0.76,0.41,0.34,0.09,0.55,0.66,0.69,0.91,0.75,0.06
toped.csv,0.66,0.75,0.58,0.28,0.22,0.45,0.98,0.77,0.48,0.36,0.12,0.61,0.68,0.77,0.91,0.83,0.11
truevision.csv,0.67,0.78,0.64,0.32,0.29,0.54,0.89,0.8,0.93,0.56,0.14,0.67,0.62,0.69,0.89,0.92,0.1
zoolib.csv,0.67,0.79,0.81,0.37,0.27,0.82,0.94,0.85,1.0,0.54,0.23,0.85,0.65,0.67,0.91,1.0,0.18
zxing.csv,0.74,0.58,0.64,0.5,0.36,0.53,0.9,0.81,1.0,0.44,0.07,0.57,0.7,0.85,0.51,0.93,0.24
