,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.32,0.6,0.81,0.93,0.92,0.82,0.67,0.9,0.55,0.44,0.86,0.42,0.0
ftm.csv,0.65,0.62,0.45,0.82,0.68,0.61,0.5,0.56,0.86,0.71,0.6,0.45,0.48
google-web-toolkit.csv,0.33,0.62,0.52,0.97,0.54,0.48,0.46,0.38,0.88,0.39,0.79,0.42,0.53
gzigzag.csv,0.33,0.99,0.5,0.92,0.92,0.5,0.69,0.77,0.74,0.84,0.86,0.38,0.48
illumination.csv,0.0,0.0,0.4,0.0,0.43,0.0,0.0,0.0,0.73,0.67,0.67,0.0,0.52
jcache.csv,0.35,0.45,0.39,0.52,0.48,0.39,0.42,0.39,0.38,0.4,0.52,0.77,0.41
moast.csv,0.89,0.45,0.39,0.98,0.8,0.59,0.82,0.9,0.64,0.44,0.49,0.95,0.72
nativeclient.csv,0.56,0.49,0.41,0.57,0.51,0.45,0.48,0.38,0.43,0.39,0.58,0.58,0.45
ns-3-dev-def-routing.csv,0.33,0.47,0.67,0.8,0.63,0.67,0.59,0.52,0.94,0.54,0.69,0.54,0.77
openfrag.csv,0.32,0.44,0.46,0.79,0.53,0.47,0.46,0.43,0.57,0.45,0.67,0.43,0.57
qdvdauthor.csv,0.89,0.64,0.69,0.91,0.49,0.67,0.48,0.4,0.85,0.69,0.57,0.45,0.57
sauerbraten.csv,0.38,0.43,0.46,0.5,0.43,0.44,0.39,0.36,0.37,0.39,0.49,0.42,0.54
zoolib.csv,0.32,0.99,0.48,0.99,0.79,0.65,0.6,0.48,0.64,0.39,0.95,0.59,0.67
