,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.25,0.13,0.05,0.26,0.15,0.24,0.19,0.14,0.0,0.12,1.0,0.21
echongl.csv,0.33,0.64,0.57,0.45,0.57,0.5,0.99,0.03,0.45,0.69,0.11,0.23
hazelcast.csv,0.5,0.99,0.68,0.65,0.73,0.87,0.8,0.31,0.68,0.76,0.24,0.37
japano.csv,0.5,0.75,0.68,0.52,1.0,0.74,0.81,0.16,0.7,0.81,0.21,0.25
jmol.csv,0.37,0.64,0.23,0.5,0.52,1.0,0.63,0.25,0.47,0.66,0.22,0.37
mobicents.csv,0.43,0.49,0.27,0.99,0.62,0.45,0.67,0.31,0.47,0.57,0.33,0.41
nunit.csv,0.33,0.64,0.46,0.44,0.33,0.53,0.15,0.33,0.21,0.25,0.32,0.95
openefm.csv,0.98,0.51,0.65,0.52,0.38,0.76,0.4,0.43,0.54,0.54,0.39,0.36
snakeyaml.csv,0.38,0.57,0.65,0.52,0.66,0.61,0.77,0.94,0.57,0.48,0.33,0.27
trackit.csv,0.31,0.63,0.98,0.32,0.31,0.27,0.75,0.21,0.47,0.28,0.07,0.15
unicase.csv,0.52,0.79,0.55,0.63,0.78,0.73,0.73,0.26,0.25,0.99,0.3,0.38
wheat.csv,0.26,0.57,0.2,0.37,0.5,0.57,0.44,0.25,1.0,0.3,0.17,0.34
