,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.86,0.8,0.5,0.98,0.91,0.93,0.94,0.5,0.0,0.97,0.88,0.94
echongl.csv,0.55,0.6,0.61,0.62,0.68,0.7,0.36,0.93,0.57,0.5,0.62,0.68
hazelcast.csv,0.36,0.35,0.36,0.34,0.32,0.31,0.29,0.35,0.31,0.33,0.36,0.32
japano.csv,0.43,0.5,0.44,0.56,0.49,0.47,0.31,0.53,0.35,0.42,0.5,0.47
jmol.csv,0.62,0.42,0.67,0.49,0.45,0.37,0.47,0.62,0.57,0.49,0.54,0.6
mobicents.csv,0.59,0.68,0.91,0.52,0.67,0.68,0.4,0.84,0.73,0.56,0.5,0.73
nunit.csv,0.86,0.64,0.7,0.7,0.74,0.67,0.94,0.61,0.9,0.99,0.57,0.94
openefm.csv,0.62,0.58,0.61,0.53,0.68,0.38,0.74,0.58,0.54,0.58,0.61,0.6
snakeyaml.csv,0.55,0.7,0.67,0.66,0.84,0.58,0.37,0.96,0.57,0.77,0.68,0.72
trackit.csv,0.76,0.52,0.56,0.85,0.72,0.96,0.34,0.71,0.65,0.94,0.75,0.67
unicase.csv,0.44,0.44,0.4,0.42,0.46,0.4,0.37,0.57,0.83,0.44,0.41,0.52
wheat.csv,0.85,0.56,0.89,0.84,0.52,0.62,0.6,0.95,0.5,0.95,0.81,0.56
