,id,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
55,2,1,1,1,0,0,logicmail.csv
51,3,2,3,9,9,9,log4net.csv
50,4,1,2,13,15,15,rohxel.csv
57,5,1,5,8,10,10,gabel.csv
21,6,1,8,14,14,13,papertoolkit.csv
17,7,1,7,16,18,17,matrex.csv
27,8,1,10,19,19,18,mediaportal.csv
16,9,1,2,7,10,9,wsmt.csv
24,10,2,3,8,10,8,jam-daq.csv
56,13,2,3,2,6,5,amanda.csv
58,14,1,0,2,2,1,emftriple.csv
18,16,5,7,10,12,13,riff-evolve.csv
23,17,1,1,6,6,5,fm-classic.csv
14,18,2,1,6,7,7,snakeyaml.csv
25,19,8,5,1,1,8,twostep.csv
13,20,1,2,6,7,7,forester-atv.csv
28,21,0,3,7,7,6,mia.csv
59,22,8,3,9,17,16,voms.csv
49,23,5,6,9,14,14,ogrehg.csv
48,24,1,8,10,9,9,lockss.csv
60,25,2,5,5,9,8,zxing.csv
26,26,1,2,5,6,6,re2c.csv
15,27,2,0,2,5,4,findbugs.csv
22,28,1,7,14,10,13,reaper-ecad.csv
38,30,2,3,5,5,5,aime.csv
33,31,2,4,6,8,8,tokratan.csv
5,32,1,7,13,11,14,amateur-scrolls.csv
12,33,3,0,8,13,11,kowari.csv
11,34,2,2,2,4,3,qmmp.csv
6,35,3,2,1,2,1,maya-work-in-progress.csv
32,36,2,4,6,8,7,kmess.csv
39,37,2,1,5,6,6,metacosm.csv
31,38,3,1,2,6,6,t-2.csv
40,39,0,1,2,3,2,zorannt.csv
53,40,4,2,4,9,8,bacnet.csv
46,41,0,7,17,19,18,jfreereport.csv
19,42,2,1,2,4,3,dataobjectsdotnet.csv
30,43,3,10,12,15,15,nativeclient.csv
29,44,4,6,11,15,17,uwom.csv
20,45,1,5,11,11,10,genoviz.csv
45,46,6,3,7,10,9,olap-navigator.csv
54,47,0,3,10,11,11,ondex.csv
47,48,2,3,12,12,13,gtad.csv
52,49,4,3,7,11,10,mbse.csv
8,51,2,4,9,11,10,igarden.csv
41,52,1,3,13,13,13,wxcode.csv
37,53,1,6,8,8,8,customsagetv.csv
36,54,2,2,2,2,2,silvertree.csv
42,55,1,3,6,6,6,adaptagrams.csv
4,57,1,2,6,6,5,encog-java.csv
9,58,0,4,11,11,10,elmo.csv
1,59,2,2,3,3,3,columba.csv
0,61,7,6,6,8,16,lcfizvtop.csv
35,62,5,3,5,6,8,jsr308-langtools.csv
43,63,2,6,14,17,16,m-a-d-n-e-s-s.csv
44,64,4,9,14,16,16,bionote.csv
34,65,1,5,13,12,12,mvdsv.csv
2,66,3,3,10,13,13,delphilhlplib.csv
10,67,3,8,11,14,15,arm-webradio.csv
3,68,1,0,1,4,3,mpqc.csv
7,69,2,0,1,1,1,ambulant.csv
