,raiden,holochain-rust,LightTable,logger,reicast-emulator,axios,Android-ObservableScrollView,Luban,symphony,nodejs.org,datadog-agent,Calligraphy,MaterialViewPager,jquery,AndroidSlidingUpPanel,iotivity
ARouter,0.483898897,0.38047138,0.438562557,0.41449307,0.424242424,0.363704232,0.525772846,0.632323232,0.456703622,0.316635745,0.449035813,0.503820817,0.632323232,0.316635745,0.584538064,0.545454545
AVLoadingIndicatorView,0.425641026,0.251559252,0.352226721,0.251559252,0.425641026,0.465437788,0.502222222,0.230769231,0.562753036,0.330662393,0.373626374,0.573673638,0.242788462,0.235042735,0.651282051,0.235042735
Aelf,0.287469346,0.525551258,0.223321269,0.468279611,0.249181429,0.230654606,0.53307705,0.5606318,0.303217186,0.223321269,0.232563422,0.564628499,0.23218799,0.223321269,0.529803972,0.586379877
Android-CleanArchitecture,0.584671131,0.477434165,0.657450371,0.391472218,0.678785929,0.463582226,0.632007423,0.567567568,0.61290799,0.535104596,0.625634726,0.552397559,0.202301311,0.476576577,0.439944356,0.546621622
Android-ObservableScrollView,0.52264048,0.433448588,0.263439029,0.345018993,0.357755662,0.514813336,0.508690564,0.530251517,0.520099529,0.418226729,0.340854496,0.634712193,0.434760493,0.23262024,0.502008914,0.633079411
Android-PickerView,0.466388193,0.354110208,0.354110208,0.62654321,0.548148148,0.489337823,0.691077441,0.477160494,0.43431667,0.354110208,0.47797271,0.630576441,0.62962963,0.354110208,0.725028058,0.534299005
Android-PullToRefresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Android-Universal-Image-Loader,0.531975056,0.50963691,0.461308191,0.378719323,0.51975414,0.564274869,0.538042876,0.455168809,0.525346444,0.475599558,0.497453043,0.55122213,0.327091623,0.533480012,0.53055847,0.541703071
AndroidSlidingUpPanel,0.552461573,0.26238708,0.256695058,0.549117571,0.590534171,0.539319604,0.441276377,0.333028074,0.464294562,0.520892388,0.338602986,0.635575099,0.439033738,0.645352118,0.736759114,0.621615189
AndroidSwipeLayout,0.654851031,0.315151515,0.353030303,0.462809917,0.739229249,0.31415705,0.443000854,0.250494071,0.505785124,0.520255183,0.405964121,0.66411898,0.387703963,0.714777066,0.687806807,0.362382445
AndroidViewAnimations,0.603365476,0.320494186,0.466147325,0.568478483,0.553318362,0.502004812,0.60896559,0.534380348,0.571627907,0.320494186,0.621787026,0.580942314,0.46337682,0.49156922,0.536046512,0.536046512
AnySoftKeyboard,0.38908846,0.422425929,0.337989215,0.491224421,0.375955533,0.374337091,0.423722976,0.464971448,0.465244988,0.493442938,0.361318005,0.503710782,0.368169753,0.533813735,0.478008555,0.508793546
AppIntro,0.49147591,0.365000717,0.410868253,0.39789988,0.468965517,0.44270557,0.411559402,0.481723596,0.47184953,0.540681463,0.503106796,0.444224352,0.422702524,0.475962019,0.550184332,0.466932849
BaseRecyclerViewAdapterHelper,0.709636498,0.100195961,0.216496544,0.675444044,0.763771539,0.101862458,0.740996673,0.305519374,0.694406303,0.317398846,0.340193582,0.740136263,0.269146307,0.698005604,0.696601361,0.702252498
BottomBar,0.514802386,0.34198783,0.303191489,0.303191489,0.495209437,0.402745995,0.394186047,0.396133333,0.593988121,0.521647059,0.377678571,0.568867925,0.303191489,0.305932203,0.517710997,0.305932203
Calligraphy,0.605113636,0.387234043,0.427952999,0.357341531,0.597107438,0.325208608,0.426066687,0.556094276,0.598646035,0.284090909,0.471861472,0.592073801,0.350006327,0.499810606,0.533415233,0.381713335
CircleImageView,0.492871353,0.490421456,0.699793237,0.562983814,0.732095491,0.693843362,0.147005445,0.522988506,0.492871353,0.647214854,0.699241113,0.620689655,0.147005445,0.561364479,0.534308603,0.699241113
EventBus,0.653156416,0.560301171,0.629397451,0.611321626,0.720352286,0.616627577,0.245221791,0.513635465,0.558181434,0.562705517,0.594184635,0.572340945,0.629304193,0.550574543,0.394586445,0.562705517
FileDownloader,0.580905215,0.497712023,0.31701505,0.385751768,0.404500393,0.345978279,0.525571651,0.347028452,0.591622747,0.373575154,0.354655512,0.385720717,0.473320304,0.517163438,0.33571352,0.302045261
FizzBuzzEnterpriseEdition,0.484968339,0.289289289,0.420686762,0.537075537,0.567567568,0.373873874,0.621621622,0.526457492,0.613595414,0.451858755,0.415035725,0.558394758,0.289289289,0.277409485,0.433880689,0.373873874
