,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.51,0.67,0.63,0.78,0.54,0.69,0.91,0.69,0.59,0.64,0.89,0.39,0.78,0.55
flylinkdc.csv,0.38,0.8,0.62,0.82,0.64,0.84,0.81,0.67,0.5,0.7,0.84,0.47,0.58,0.68
grisbi.csv,0.7,0.76,0.63,0.88,0.77,0.97,0.85,0.98,0.22,1.0,0.85,0.42,0.8,0.88
jaolt.csv,0.57,0.69,0.41,0.87,0.64,0.69,0.61,0.68,0.42,0.65,0.89,0.72,0.75,0.69
maidsafe-dht.csv,0.73,0.62,0.4,0.88,0.84,0.87,0.61,0.83,0.34,0.56,0.65,0.64,1.01,0.77
mimosa.csv,0.54,0.92,0.71,0.94,0.76,0.76,0.87,0.28,0.66,0.83,0.99,0.82,0.93,0.93
n2cms.csv,0.6,0.33,0.49,0.85,0.68,0.76,0.59,0.76,0.35,0.61,0.8,0.68,0.78,0.4
nassp.csv,0.68,0.81,0.72,0.76,0.76,0.89,0.39,0.89,0.79,0.84,1.0,0.8,0.54,0.85
nug.csv,0.66,0.64,0.94,0.33,0.99,0.62,0.62,0.87,0.97,0.69,0.8,0.77,0.84,0.92
quantlib.csv,1.0,0.91,1.0,0.95,0.73,0.86,0.98,0.94,1.0,0.98,1.0,1.0,0.49,0.95
red5.csv,0.62,0.95,0.71,0.89,0.67,0.47,0.96,0.98,1.07,0.74,0.97,0.25,0.77,0.69
super-tux.csv,0.94,0.72,0.69,0.73,0.85,0.6,0.6,0.92,1.06,0.7,0.97,0.09,0.86,0.64
tcvp.csv,0.97,0.94,0.93,0.94,0.89,0.95,1.0,1.0,1.0,0.99,0.4,1.0,1.0,0.97
zxing.csv,0.49,0.57,0.52,0.85,0.62,0.77,0.65,0.76,0.48,0.56,0.91,0.69,0.73,0.31
