,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.38,0.04,0.72,0.5,0.55,0.65,0.47,0.63,0.51,0.38,0.6,0.73,0.73
ftm.csv,0.58,0.5,0.51,0.23,0.3,0.48,0.38,0.26,0.29,0.66,0.39,0.01,0.27
google-web-toolkit.csv,0.12,0.34,0.44,0.11,0.19,0.0,0.25,0.16,0.11,0.34,0.18,0.23,0.73
gzigzag.csv,0.46,0.32,0.0,0.08,0.26,0.15,0.28,0.21,0.26,0.14,0.05,0.32,0.02
illumination.csv,0.25,0.17,0.09,0.54,0.43,0.27,0.34,0.47,0.0,0.52,0.57,0.21,0.02
jcache.csv,0.38,0.86,0.55,0.62,0.26,0.52,0.56,0.74,0.57,0.72,0.74,0.06,0.0
moast.csv,0.04,0.03,0.11,0.01,0.02,0.1,0.03,0.0,0.03,0.03,0.03,0.01,0.02
nativeclient.csv,0.5,0.37,0.53,0.4,0.64,0.65,0.61,0.47,0.58,0.62,0.01,0.54,0.78
ns-3-dev-def-routing.csv,0.12,0.76,0.18,0.28,0.09,0.09,0.0,0.26,0.12,0.31,0.18,0.18,0.05
openfrag.csv,0.71,0.8,0.53,0.52,0.02,0.67,0.74,0.58,0.55,0.59,0.75,0.54,0.2
qdvdauthor.csv,0.75,0.48,0.15,0.26,0.21,0.27,0.54,0.05,0.37,0.0,0.78,0.14,0.1
sauerbraten.csv,0.04,0.42,0.34,0.2,0.26,0.22,0.38,0.26,0.34,0.1,0.09,0.34,0.07
zoolib.csv,0.08,0.01,0.03,0.01,0.0,0.01,0.06,0.0,0.08,0.03,0.02,0.06,0.0
