,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.86,0.27,0.78,0.7,0.76,0.78,0.76,0.72,0.56,0.42,0.82,0.8,1.02
ftm.csv,0.62,0.71,0.56,0.65,0.48,0.63,0.57,0.52,0.76,1.03,0.61,0.1,0.31
google-web-toolkit.csv,0.93,0.82,0.58,0.88,0.78,0.02,0.76,0.67,0.89,0.78,0.91,0.66,0.79
gzigzag.csv,0.53,0.94,0.03,0.84,0.77,0.75,0.72,0.71,0.98,0.93,0.93,0.66,0.79
illumination.csv,0.93,0.87,0.93,0.97,0.77,0.73,0.92,0.71,0.12,1.11,0.77,0.74,0.74
jcache.csv,0.81,0.92,0.63,0.72,0.59,0.63,0.68,0.79,0.78,0.74,0.78,0.89,0.0
moast.csv,0.98,0.98,0.87,0.97,0.94,0.94,0.93,0.97,1.0,0.04,0.97,0.98,0.94
nativeclient.csv,0.6,0.7,0.63,0.73,0.72,0.71,0.66,0.55,0.72,1.09,0.04,0.65,0.84
ns-3-dev-def-routing.csv,0.8,0.78,0.81,0.67,0.81,0.84,0.04,0.7,0.89,0.44,0.74,0.74,0.71
openfrag.csv,0.71,0.85,0.63,0.65,0.06,0.69,0.77,0.64,0.63,0.59,0.78,0.55,0.31
qdvdauthor.csv,0.85,0.58,0.74,0.91,0.42,0.69,0.67,0.06,0.6,0.54,0.82,0.88,0.68
sauerbraten.csv,0.05,0.71,0.68,0.55,0.76,0.79,0.75,0.82,0.95,0.16,0.85,0.65,0.8
zoolib.csv,0.65,0.98,0.9,0.16,0.94,0.95,0.93,0.95,1.0,0.94,0.96,0.9,0.94
