,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,5.0,0.0,1.0,7.0,1.0,5.0,4.0,0.0,5.0,0.0,0.0,5.0,2.0
ftm.csv,2.0,4.0,2.0,7.0,0.0,1.0,1.0,2.0,9.0,0.0,1.0,0.0,1.0
google-web-toolkit.csv,3.0,0.0,2.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,24.0
gzigzag.csv,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
illumination.csv,2.0,1.0,1.0,16.0,2.0,2.0,8.0,0.0,0.0,6.0,0.0,3.0,0.0
jcache.csv,2.0,4.0,19.0,11.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0
moast.csv,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,81.0,0.0,3.0,1.0,0.0
nativeclient.csv,1.0,1.0,0.0,3.0,0.0,2.0,8.0,0.0,8.0,4.0,0.0,1.0,25.0
ns-3-dev-def-routing.csv,1.0,4.0,15.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
openfrag.csv,1.0,4.0,13.0,6.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0
qdvdauthor.csv,3.0,0.0,3.0,16.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
sauerbraten.csv,0.0,1.0,19.0,9.0,2.0,1.0,6.0,0.0,2.0,0.0,1.0,4.0,1.0
zoolib.csv,0.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,81.0,1.0,2.0,0.0,0.0
