,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.78,0.84,0.47,0.72,0.68,0.56,0.67,0.55,0.5,0.48,0.7,0.52,0.82
ftm.csv,0.33,0.46,0.41,0.75,0.47,0.47,0.53,0.41,0.71,0.61,0.55,0.57,0.4
google-web-toolkit.csv,0.83,0.73,0.47,0.97,0.96,0.51,0.85,0.71,0.89,0.65,0.97,0.64,0.61
gzigzag.csv,0.38,0.94,0.82,0.97,0.88,0.87,0.7,0.71,0.94,0.96,0.93,0.61,0.88
illumination.csv,0.9,0.94,0.9,0.62,0.85,0.71,0.96,0.61,0.93,0.95,0.7,0.88,0.9
jcache.csv,0.75,0.54,0.42,0.6,0.58,0.43,0.53,0.42,0.53,0.45,0.54,0.91,0.44
moast.csv,0.5,0.97,0.93,0.8,0.8,0.96,0.9,0.0,0.5,0.43,0.88,0.5,0.67
nativeclient.csv,0.39,0.53,0.49,0.62,0.49,0.4,0.45,0.37,0.42,0.64,0.57,0.4,0.62
ns-3-dev-def-routing.csv,0.91,0.56,0.91,0.81,0.89,0.98,0.65,0.68,0.9,0.59,0.75,0.93,0.75
openfrag.csv,0.31,0.44,0.43,0.57,0.52,0.41,0.41,0.45,0.44,0.4,0.52,0.45,0.44
qdvdauthor.csv,0.44,0.53,0.86,0.69,0.57,0.6,0.5,0.42,0.58,0.62,0.56,0.94,0.67
sauerbraten.csv,0.41,0.81,0.64,0.99,0.82,0.85,0.74,0.86,0.83,0.47,0.97,0.61,0.9
zoolib.csv,0.69,0.94,0.83,0.97,0.75,0.91,0.93,0.5,0.8,0.94,0.88,0.9,0.5
