,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,5.0,0.0,0.0,87.0,80.0,2.0,5.0,0.0,46.0,15.0,1.0,7.0,4.0,0.0,7.0,0.0,0.0,0.0
archive-crawler.csv,2.0,5.0,1.0,5.0,25.0,17.0,7.0,0.0,62.0,1.0,12.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
customwars.csv,10.0,7.0,0.0,4.0,20.0,4.0,6.0,0.0,4.0,6.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,4.0
gbif-providertoolkit.csv,0.0,0.0,1.0,2.0,15.0,0.0,4.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
gss.csv,4.0,4.0,0.0,31.0,4.0,0.0,4.0,2.0,17.0,2.0,2.0,0.0,3.0,0.0,3.0,2.0,39.0,0.0
heekscad.csv,0.0,0.0,2.0,26.0,5.0,0.0,3.0,0.0,50.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0
ikvm.csv,6.0,1.0,0.0,12.0,4.0,20.0,9.0,3.0,16.0,2.0,8.0,3.0,3.0,1.0,3.0,0.0,2.0,1.0
jaxen.csv,4.0,0.0,0.0,22.0,18.0,2.0,4.0,0.0,0.0,5.0,18.0,3.0,3.0,0.0,2.0,1.0,2.0,0.0
jcae.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0
levent.csv,3.0,1.0,0.0,13.0,48.0,0.0,26.0,0.0,49.0,10.0,4.0,2.0,2.0,1.0,3.0,0.0,8.0,0.0
nicepress.csv,7.0,0.0,1.0,7.0,20.0,4.0,1.0,8.0,13.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
pnotepad.csv,4.0,0.0,1.0,44.0,55.0,2.0,0.0,0.0,55.0,7.0,20.0,2.0,3.0,2.0,7.0,0.0,72.0,0.0
qcad2.csv,3.0,0.0,2.0,6.0,13.0,7.0,0.0,0.0,24.0,5.0,13.0,2.0,3.0,0.0,3.0,3.0,36.0,0.0
qedo.csv,3.0,6.0,1.0,11.0,51.0,80.0,6.0,71.0,86.0,11.0,111.0,1.0,55.0,50.0,88.0,0.0,0.0,0.0
quarkplusplus.csv,0.0,0.0,0.0,19.0,76.0,11.0,1.0,0.0,45.0,8.0,4.0,3.0,0.0,0.0,2.0,0.0,13.0,0.0
sigil.csv,0.0,1.0,4.0,7.0,45.0,4.0,3.0,0.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
xcsoar.csv,0.0,0.0,3.0,16.0,10.0,14.0,6.0,0.0,49.0,5.0,17.0,0.0,0.0,1.0,1.0,0.0,19.0,4.0
xuggle.csv,1.0,0.0,0.0,33.0,0.0,3.0,8.0,0.0,2.0,14.0,1.0,8.0,4.0,0.0,6.0,1.0,0.0,0.0
