,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,8.0,0.0,0.0,0.0,10.0,1.0,7.0,5.0,1.0,0.0,6.0,1.0,7.0,6.0,0.0,1.0,0.0,0.0,14.0
delphilhlplib.csv,3.0,4.0,0.0,5.0,11.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,15.0
exordium.csv,0.0,96.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,6.0
fltk.csv,2.0,0.0,0.0,0.0,2.0,11.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0
genoviz.csv,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0
gzigzag.csv,2.0,3.0,0.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0
irrlicht.csv,3.0,4.0,0.0,3.0,11.0,16.0,8.0,2.0,0.0,0.0,10.0,17.0,11.0,3.0,0.0,0.0,0.0,0.0,12.0
kmess.csv,2.0,3.0,1.0,1.0,5.0,1.0,11.0,8.0,0.0,1.0,6.0,8.0,24.0,2.0,0.0,0.0,2.0,0.0,11.0
moast.csv,2.0,0.0,3.0,4.0,0.0,4.0,13.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
mptvseries.csv,1.0,4.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,8.0
nativeclient.csv,1.0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,3.0,7.0,0.0,0.0,2.0,1.0,0.0,9.0
openfrag.csv,2.0,4.0,3.0,1.0,9.0,14.0,3.0,4.0,0.0,0.0,6.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0
phet.csv,5.0,5.0,0.0,1.0,12.0,1.0,0.0,6.0,0.0,0.0,6.0,1.0,15.0,3.0,0.0,1.0,2.0,0.0,17.0
qdvdauthor.csv,3.0,5.0,4.0,1.0,11.0,11.0,0.0,5.0,0.0,0.0,6.0,1.0,5.0,7.0,0.0,1.0,0.0,0.0,5.0
qse.csv,1.0,0.0,0.0,4.0,14.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,19.0
sauerbraten.csv,0.0,0.0,7.0,2.0,5.0,9.0,1.0,4.0,0.0,0.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0
toped.csv,6.0,4.0,0.0,3.0,10.0,4.0,5.0,2.0,0.0,0.0,6.0,7.0,15.0,0.0,0.0,1.0,0.0,0.0,2.0
truevision.csv,4.0,0.0,0.0,0.0,4.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,26.0
zoolib.csv,2.0,2.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
