,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.95,0.77,0.43,0.07,0.11,0.28,0.19,0.32,0.22,0.32,0.34,0.11,0.68,0.2,0.15,0.1,0.14,0.06,0.6
delphilhlplib.csv,0.95,0.67,0.87,0.41,0.95,0.59,0.38,0.53,0.59,0.53,0.43,0.5,0.71,0.52,0.45,0.48,0.99,0.27,1.0
exordium.csv,0.9,0.39,0.6,0.46,0.74,0.66,0.3,0.63,0.82,0.55,0.17,0.42,0.87,0.53,0.57,0.38,0.65,0.14,1.0
fltk.csv,0.82,0.16,0.32,0.64,0.42,0.66,0.67,0.58,0.49,0.53,0.77,0.32,0.1,0.47,0.65,0.59,0.97,0.32,0.8
genoviz.csv,0.26,0.05,0.53,0.08,0.21,0.38,0.04,0.05,0.12,0.1,0.06,0.11,0.0,0.09,0.18,0.12,0.22,0.12,1.0
gzigzag.csv,0.77,0.04,0.4,0.27,0.37,0.55,0.1,0.32,0.65,0.25,0.54,0.42,0.13,0.36,0.3,0.28,0.17,0.1,1.0
irrlicht.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.36,0.0,0.08,0.8,0.58,0.45,0.06,0.68,0.78,0.51,0.03,0.63,0.13,0.47,0.6,0.73,0.19,0.0,0.4
moast.csv,0.18,1.0,0.26,0.38,0.37,0.93,0.36,0.26,1.0,0.31,1.0,0.26,0.1,0.52,0.18,1.0,0.97,1.0,0.8
mptvseries.csv,0.85,0.88,0.0,0.41,0.63,0.31,0.07,0.68,0.57,0.38,0.77,0.47,0.35,0.33,0.5,0.44,0.02,0.22,0.8
nativeclient.csv,0.51,0.86,0.96,0.56,1.0,0.66,0.38,0.63,0.88,0.57,0.86,0.84,0.9,0.7,0.57,0.7,0.97,0.67,0.8
openfrag.csv,0.97,0.95,0.98,0.59,0.95,0.62,0.61,0.53,0.94,0.71,0.49,0.66,0.52,0.77,0.57,0.59,0.93,0.46,0.8
phet.csv,0.03,0.62,0.3,0.1,0.21,0.38,0.61,0.37,0.16,0.43,0.09,0.63,0.84,0.32,0.38,0.38,0.02,0.54,0.0
qdvdauthor.csv,0.49,0.71,0.68,0.86,0.84,0.52,0.72,0.79,0.67,0.72,1.0,0.37,0.61,0.86,0.82,0.82,0.9,0.92,0.0
qse.csv,0.41,0.0,0.3,0.69,0.47,0.59,0.64,0.47,0.49,0.36,0.8,0.42,0.32,0.27,0.42,0.47,0.32,0.03,0.4
sauerbraten.csv,0.74,0.86,0.74,1.0,1.0,0.9,0.87,0.95,1.0,0.89,1.0,0.97,0.52,1.0,1.0,0.97,0.96,1.0,0.6
toped.csv,0.97,0.41,0.68,0.84,0.95,0.79,0.59,0.79,0.82,0.71,0.94,0.42,0.45,0.68,0.82,0.77,0.98,0.65,1.0
truevision.csv,0.85,0.0,0.36,0.62,0.68,0.31,0.25,0.47,0.67,0.51,0.0,0.76,0.71,0.48,0.55,0.57,0.99,0.05,0.2
zoolib.csv,0.92,0.21,0.74,0.39,0.68,0.66,0.13,0.47,0.57,0.47,0.17,0.37,0.71,0.3,0.45,0.52,0.99,0.12,0.8
