,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.56,0.5,0.48,0.0,0.34,0.39,1.0,0.54,0.44,0.12,0.0,0.44,0.47,0.5,0.32,0.55,0.0,0.32
ardour.csv,0.48,0.58,0.49,0.38,0.33,0.5,0.21,0.98,0.34,0.66,0.73,0.48,0.6,0.5,0.28,0.62,0.13,0.46
bacnet.csv,0.5,0.51,0.57,0.93,0.28,0.51,0.38,0.58,0.42,0.34,0.5,0.4,0.29,0.5,0.35,0.66,0.55,0.28
cortex-vfx.csv,0.48,0.62,0.35,0.33,0.4,0.67,0.13,0.46,0.32,0.5,0.29,0.48,0.53,0.99,0.55,0.66,0.39,0.29
enzo.csv,0.68,0.6,0.55,0.62,0.37,0.53,0.64,0.51,0.6,0.98,0.52,0.57,0.7,0.47,0.22,0.52,0.61,0.39
growl-for-windows.csv,0.71,0.64,0.66,0.28,0.67,0.53,0.55,0.65,0.52,0.54,0.54,0.59,0.57,0.57,1.0,0.8,0.45,0.63
heekscad.csv,0.99,0.74,0.61,0.28,0.5,0.7,0.65,0.69,0.63,0.2,0.73,0.6,0.68,0.62,0.32,0.75,0.06,0.63
minig.csv,0.67,0.6,0.66,0.65,0.98,0.52,0.6,0.62,0.36,0.55,0.67,0.53,0.48,0.46,0.68,0.79,0.73,0.64
multitude.csv,0.6,0.65,0.61,0.5,0.64,0.57,0.61,0.67,0.95,0.53,0.55,0.57,0.63,0.59,0.45,0.74,0.7,0.47
natpad.csv,0.61,0.6,0.51,0.36,0.57,0.63,0.38,0.66,0.46,0.55,0.6,0.51,0.68,0.46,0.48,0.79,0.98,0.43
open-ms.csv,0.25,0.47,0.52,0.27,0.23,0.44,0.1,0.29,0.18,0.13,0.09,0.89,0.45,0.33,0.57,0.53,0.4,0.41
planeshift.csv,0.58,0.68,0.99,0.45,0.3,0.68,0.53,0.53,0.51,0.52,0.62,0.45,0.67,0.6,0.32,0.65,0.69,0.25
rocrail.csv,0.3,0.15,0.25,0.13,0.18,0.28,0.19,0.4,0.17,0.07,0.25,0.2,0.36,0.15,0.1,0.96,0.45,0.13
salasaga.csv,0.16,0.35,0.26,0.17,0.55,0.42,0.32,0.47,0.26,0.37,0.97,0.44,0.3,0.54,0.24,0.33,0.38,0.22
xcsoar.csv,0.67,0.94,0.62,0.62,0.58,0.47,0.42,0.65,0.51,0.48,0.64,0.57,0.62,0.6,0.69,0.85,0.68,0.34
xemeiah.csv,0.6,0.67,0.59,0.36,0.32,0.97,0.34,0.66,0.4,0.55,0.44,0.5,0.54,0.4,0.22,0.84,0.65,0.63
xmoto.csv,0.68,0.65,0.67,0.52,0.48,0.62,0.36,0.68,0.48,0.64,0.24,0.57,0.95,0.52,0.5,0.81,0.09,0.64
zxing.csv,0.76,0.56,0.5,0.0,0.55,0.59,0.54,0.6,0.68,0.59,0.0,0.6,0.65,0.68,0.17,0.67,0.0,0.99
