,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.92,0.43,0.7,0.43,0.82,0.77,0.69,0.88,0.71,0.43,0.93,0.75,1.0
ftm.csv,0.46,0.77,0.53,0.5,0.48,0.63,0.58,0.62,0.87,0.99,0.57,0.47,0.42
google-web-toolkit.csv,0.67,0.84,0.6,0.9,0.67,0.5,0.63,0.44,0.73,0.86,0.75,0.54,0.35
gzigzag.csv,0.68,1.0,0.61,0.81,0.76,0.74,0.83,0.94,0.76,0.75,0.91,0.76,0.56
illumination.csv,0.98,1.0,0.81,1.0,0.97,1.0,1.0,0.95,0.26,1.01,0.95,1.0,1.0
jcache.csv,0.83,0.58,0.73,0.72,0.75,0.7,0.77,0.68,0.66,0.91,0.49,0.62,0.19
moast.csv,0.89,0.97,0.87,0.95,0.61,0.76,0.7,0.88,0.73,0.11,1.0,0.92,0.89
nativeclient.csv,0.61,0.65,0.71,0.65,0.63,0.71,0.73,0.65,0.75,0.86,0.42,0.63,0.31
ns-3-dev-def-routing.csv,0.92,0.97,0.65,0.43,0.63,0.68,0.52,0.55,0.8,0.17,0.72,0.52,0.51
openfrag.csv,0.75,0.71,0.67,0.81,0.34,0.66,0.52,0.6,0.87,0.79,0.7,0.89,0.95
qdvdauthor.csv,0.7,0.85,0.71,0.75,0.77,0.71,0.68,0.4,0.82,0.23,0.89,0.67,0.98
sauerbraten.csv,0.41,1.0,0.82,0.91,0.98,0.84,0.99,0.95,0.85,0.9,0.99,1.0,0.95
zoolib.csv,0.71,0.75,0.68,0.37,0.7,0.67,0.59,0.73,0.86,0.86,0.87,0.53,0.6
