,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.43,0.51,0.04,0.59,0.16,0.44,0.31,0.1,0.0,0.86,0.47,0.51
delphilhlplib.csv,1.0,0.61,0.49,0.66,0.51,0.45,0.44,0.74,0.45,0.67,0.06,0.39
factor.csv,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.96,0.42
fceugc.csv,0.37,0.31,0.3,0.88,0.47,0.23,0.53,0.26,0.33,0.37,0.48,0.25
fltk.csv,0.59,0.99,0.33,0.52,0.56,0.27,0.72,0.59,0.52,0.45,0.46,0.44
jstock.csv,0.56,0.14,0.11,0.12,0.23,0.29,0.13,1.0,0.48,0.2,0.06,0.6
lportal.csv,0.49,0.4,0.0,0.53,0.32,0.0,0.94,0.54,0.13,0.2,0.39,0.31
natpad.csv,0.39,0.53,0.12,0.72,0.37,0.23,0.62,0.1,0.52,0.53,0.57,0.98
ogre.csv,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
phet.csv,0.51,0.05,0.9,0.22,0.0,0.57,0.1,0.5,0.35,0.51,0.66,0.0
sandiaportals.csv,0.64,0.65,0.43,0.59,0.66,0.0,0.27,0.52,1.0,0.52,0.64,0.73
sumatrapdf.csv,0.24,0.58,0.32,0.65,0.92,0.0,0.71,0.48,0.0,0.54,0.48,0.0
