,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.68,0.59,0.09,0.48,0.8,1.0,0.03,0.12,0.0,1.0,0.67,0.62
delphilhlplib.csv,1.0,0.67,0.21,0.43,0.43,0.98,0.04,0.32,0.91,0.27,0.14,0.4
factor.csv,0.33,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,1.0,0.7
fceugc.csv,0.63,0.56,0.2,1.0,0.65,1.0,0.04,0.16,1.0,0.2,0.61,0.39
fltk.csv,0.86,0.99,0.17,0.48,0.55,1.0,0.07,0.58,0.93,0.18,0.81,0.57
jstock.csv,0.96,0.5,0.11,0.18,0.86,0.97,0.04,1.0,0.72,0.14,0.67,0.45
lportal.csv,0.73,0.48,0.0,0.38,0.3,0.97,0.99,0.26,0.5,0.09,0.58,0.27
natpad.csv,0.67,0.67,0.17,0.44,0.59,0.96,0.07,0.17,0.84,0.2,0.76,1.0
ogre.csv,0.75,0.57,0.24,0.33,0.35,1.0,0.04,0.23,0.75,0.14,0.63,0.4
phet.csv,0.74,0.5,1.0,0.17,0.0,0.98,0.02,0.38,0.61,0.16,0.72,0.0
sandiaportals.csv,0.79,0.67,0.18,0.38,0.56,0.94,0.04,0.23,1.0,0.18,0.79,0.51
sumatrapdf.csv,0.73,0.63,0.15,0.45,1.0,0.97,0.06,0.26,0.75,0.14,0.72,0.4
