,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.78,0.46,0.09,0.3,0.02,0.0,0.33,0.16,0.0,0.0,0.39,0.19
delphilhlplib.csv,0.0,0.4,0.61,0.47,0.36,0.5,0.84,0.58,0.11,0.31,0.52,0.88
factor.csv,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.11
fceugc.csv,0.78,0.28,0.32,0.0,0.13,0.0,0.49,0.37,0.0,0.23,0.57,0.22
fltk.csv,0.28,0.02,0.47,0.26,0.24,0.0,0.5,0.12,0.11,0.32,0.17,0.2
jstock.csv,0.06,0.16,0.21,0.21,0.02,0.5,0.12,0.0,0.56,0.17,0.04,0.53
lportal.csv,0.78,0.56,0.01,0.42,0.38,1.0,0.0,0.47,0.33,0.28,0.48,0.52
natpad.csv,0.56,0.33,0.16,0.51,0.13,0.5,0.38,0.12,0.28,0.34,0.3,0.0
ogre.csv,1.0,0.99,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
phet.csv,0.56,0.05,0.0,0.47,0.2,0.5,0.14,0.23,0.72,0.45,0.48,0.05
sandiaportals.csv,0.61,0.43,0.67,0.49,0.29,1.0,0.93,0.56,0.0,0.39,0.3,0.61
sumatrapdf.csv,0.94,0.46,0.52,0.4,0.0,1.0,0.57,0.4,1.0,0.59,0.3,1.0
