,id,Total_projects,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
40,4,9,3,3,5,7,8,rcp-company-uibindings.csv
47,5,9,1,1,6,9,8,mbse.csv
17,6,7,0,4,7,7,6,jfreereport.csv
12,7,17,3,9,11,17,16,qse.csv
23,8,13,2,4,9,13,12,pentahoanalysistool.csv
20,10,3,2,2,2,2,2,pfaedit.csv
11,11,9,7,2,2,4,8,dvd-create.csv
42,12,19,3,7,15,17,18,theresa.csv
46,13,15,4,8,13,13,14,ardour.csv
48,14,4,4,3,2,0,3,google-caja.csv
41,15,17,3,10,14,15,16,rocrail.csv
14,16,15,3,8,12,15,14,riff-evolve.csv
19,17,17,6,6,14,9,16,growl-for-windows.csv
9,18,11,1,5,10,10,10,ftm.csv
21,19,15,1,10,14,9,14,kftpgrabber.csv
24,21,7,5,4,4,5,6,runuomondains.csv
49,22,3,1,2,3,3,2,log4net.csv
39,23,12,1,7,11,12,11,mp-rechnungs-und-kundenverwaltung.csv
38,24,16,4,9,10,16,15,mclient-mume.csv
50,25,20,2,7,17,17,19,poormans.csv
22,26,18,2,4,9,17,17,uwom-server.csv
10,27,12,2,6,10,12,11,tycho.csv
18,28,4,1,0,0,4,3,thrust.csv
13,29,12,1,7,9,12,11,bionote.csv
31,30,15,3,7,11,15,14,emite.csv
28,31,5,1,3,4,5,4,customsagetv.csv
2,32,17,1,7,17,16,16,mediaportal.csv
8,33,6,2,1,4,6,5,lite.csv
7,34,9,2,2,7,9,8,tolven.csv
3,35,10,4,3,5,9,9,codesmith.csv
27,36,14,1,10,14,13,13,mevenide.csv
32,39,17,9,4,5,14,16,codeblocks.csv
44,40,17,3,2,11,13,16,stuproa-cims.csv
36,41,17,4,6,14,15,16,mptvseries.csv
15,42,20,2,5,11,19,19,ondex.csv
26,43,14,4,4,12,13,13,etics.csv
25,44,9,2,5,7,8,8,autofac.csv
16,45,13,1,7,13,12,12,genoviz.csv
35,46,18,8,5,11,17,17,sigil.csv
45,47,8,1,2,5,7,7,neodatis-odb.csv
37,48,17,9,4,10,15,16,unflobtactical.csv
43,49,10,2,2,9,10,9,monetdb.csv
0,50,6,4,2,1,2,5,atomsite.csv
5,51,15,1,6,13,13,14,matrex.csv
33,52,14,2,5,11,12,13,gzigzag.csv
30,53,9,2,3,6,9,8,stemkit.csv
29,54,10,2,5,7,9,9,bibedt.csv
34,55,8,1,3,6,8,7,biodwh.csv
4,56,7,1,0,5,7,6,geogebra.csv
1,57,13,4,4,7,11,12,jstock.csv
6,58,13,2,3,10,15,12,nodal.csv
