,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,1.0,0.0,0.0,1.0,20.0,4.0,8.0,31.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0
arcallians.csv,0.0,4.0,0.0,1.0,3.0,0.0,9.0,32.0,0.0,1.0,0.0,13.0,5.0,3.0,1.0,10.0
arianne.csv,0.0,0.0,1.0,0.0,3.0,1.0,5.0,25.0,2.0,0.0,0.0,119.0,0.0,2.0,0.0,6.0
aztec.csv,0.0,0.0,0.0,49.0,6.0,0.0,0.0,20.0,2.0,105.0,0.0,119.0,0.0,0.0,2.0,1.0
biopax.csv,6.0,0.0,0.0,0.0,23.0,0.0,53.0,3.0,0.0,16.0,0.0,30.0,1.0,0.0,0.0,13.0
bl-toolkit.csv,6.0,0.0,0.0,0.0,3.0,0.0,2.0,78.0,2.0,15.0,3.0,11.0,3.0,0.0,0.0,6.0
gnupdate.csv,13.0,1.0,1.0,4.0,3.0,0.0,45.0,2.0,2.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0
les-indemodables.csv,0.0,0.0,0.0,1.0,3.0,0.0,7.0,22.0,2.0,0.0,1.0,26.0,3.0,0.0,0.0,5.0
ng4j.csv,3.0,0.0,0.0,1.0,7.0,0.0,8.0,4.0,1.0,2.0,0.0,33.0,2.0,0.0,0.0,0.0
openxava.csv,0.0,0.0,0.0,1.0,11.0,0.0,24.0,0.0,0.0,5.0,0.0,33.0,4.0,1.0,0.0,1.0
phonon-vlc-mplayer.csv,0.0,0.0,1.0,4.0,0.0,1.0,70.0,33.0,2.0,8.0,0.0,119.0,1.0,1.0,2.0,1.0
qgis.csv,0.0,0.0,0.0,3.0,9.0,0.0,20.0,32.0,1.0,2.0,0.0,44.0,3.0,0.0,1.0,0.0
rsyslog.csv,1.0,0.0,0.0,1.0,7.0,0.0,11.0,8.0,1.0,2.0,0.0,45.0,2.0,2.0,0.0,4.0
vars-redux.csv,0.0,6.0,1.0,0.0,2.0,0.0,8.0,16.0,0.0,2.0,1.0,8.0,2.0,1.0,0.0,0.0
xapian.csv,0.0,2.0,0.0,1.0,1.0,0.0,3.0,58.0,0.0,2.0,0.0,15.0,0.0,1.0,1.0,3.0
xqilla.csv,203.0,171.0,71.0,49.0,256.0,83.0,318.0,147.0,115.0,105.0,259.0,0.0,113.0,101.0,90.0,78.0
