,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.41,0.5,0.52,0.64,0.38,0.51,0.11,0.19,0.57,0.33,0.99,0.2,0.5,0.53,0.48,0.44
arcallians.csv,0.5,0.51,0.67,0.64,0.48,0.97,0.23,0.16,0.62,0.57,0.38,0.07,0.36,0.31,0.57,0.39
arianne.csv,0.99,0.61,0.44,0.62,0.44,0.52,0.23,0.16,0.46,0.24,0.65,0.0,0.37,0.51,0.48,0.36
aztec.csv,0.57,0.05,0.04,0.0,0.1,0.59,0.88,0.15,0.42,0.0,0.02,0.0,0.24,0.15,0.82,0.37
biopax.csv,0.59,0.65,0.77,0.47,0.46,0.65,0.13,0.31,0.59,0.36,0.54,0.05,0.4,0.58,0.99,0.44
bl-toolkit.csv,0.52,0.63,0.99,0.42,0.69,0.04,0.21,0.16,0.61,0.2,0.54,0.09,0.11,0.42,0.68,0.42
gnupdate.csv,0.37,0.55,0.32,0.56,0.6,0.58,0.09,0.17,0.55,1.0,0.34,0.14,0.25,0.3,0.46,0.32
les-indemodables.csv,0.42,0.57,0.51,0.54,0.42,0.55,0.19,0.24,0.51,0.3,0.31,0.04,0.31,0.97,0.41,0.35
ng4j.csv,0.46,0.62,0.65,0.65,0.6,0.65,0.2,0.3,0.67,0.39,0.4,0.05,0.49,0.56,0.58,0.97
openxava.csv,0.57,0.42,0.3,0.53,0.09,0.16,0.04,1.0,0.38,0.17,0.15,0.05,0.2,0.56,0.15,0.33
phonon-vlc-mplayer.csv,0.53,0.56,0.55,0.62,0.96,0.31,0.07,0.2,0.56,0.41,0.33,0.0,0.36,0.53,0.86,0.38
qgis.csv,0.39,0.97,0.55,0.54,0.48,0.53,0.1,0.14,0.45,0.26,0.62,0.06,0.42,0.49,0.74,0.48
rsyslog.csv,0.57,0.57,0.56,0.96,0.49,0.68,0.11,0.32,0.58,0.55,0.45,0.03,0.43,0.44,0.56,0.45
vars-redux.csv,0.41,0.32,0.37,0.38,0.31,0.54,0.12,0.23,0.97,0.41,0.24,0.12,0.06,0.61,0.44,0.32
xapian.csv,0.25,0.51,0.28,0.33,0.37,0.34,0.05,0.1,0.49,0.33,0.58,0.09,0.94,0.52,0.37,0.18
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
