,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.38,0.55,0.39,0.63,0.0,0.44,0.41,0.77,0.2,0.13,0.52
codesmith.csv,0.0,0.59,0.17,0.49,0.52,0.47,0.7,0.54,0.51,0.51,0.85
javaprofiler.csv,0.75,0.34,0.54,0.53,0.21,0.0,0.35,0.69,0.51,0.81,0.49
jpaul.csv,0.82,0.25,0.0,0.26,0.0,0.25,0.0,0.42,0.0,0.51,0.46
jrdf.csv,0.56,0.22,0.0,0.51,0.69,0.35,0.3,0.35,0.2,0.33,0.26
mecat.csv,0.15,0.1,0.0,0.38,0.09,0.26,0.97,0.0,0.28,0.15,0.0
neodatis-odb.csv,0.5,0.71,0.58,0.36,0.09,0.36,0.69,0.42,0.52,0.41,0.19
synecdoche.csv,0.56,0.42,0.47,0.6,0.57,0.4,0.52,0.46,0.65,0.28,0.43
tycho.csv,0.0,0.42,0.72,0.43,0.09,0.31,0.0,0.24,0.42,0.46,0.04
unicase.csv,0.56,0.53,0.38,0.72,0.13,0.27,0.13,0.2,0.26,0.13,0.13
xcmetadataservicestoolkit.csv,0.34,0.5,0.24,0.52,0.41,0.78,0.13,0.3,0.46,0.36,0.34
