,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.44,0.43,0.18,0.67,1.0,0.47,0.88,0.26,0.95,0.97,0.62
codesmith.csv,0.12,0.31,0.96,0.18,0.73,0.8,0.68,0.71,0.79,0.56,0.21
javaprofiler.csv,0.63,0.9,0.79,0.73,0.95,1.0,0.57,0.59,0.67,0.17,0.44
jpaul.csv,0.34,0.31,0.0,0.2,0.19,0.53,0.0,0.08,0.0,0.17,0.12
jrdf.csv,0.29,0.17,0.0,0.32,0.2,0.07,0.92,0.45,0.09,0.56,0.71
mecat.csv,0.02,0.09,0.0,0.17,0.1,0.0,0.13,0.02,0.16,0.03,0.0
neodatis-odb.csv,0.68,0.23,0.75,0.89,0.08,0.33,0.2,0.14,0.79,0.17,0.06
synecdoche.csv,0.24,0.56,0.25,0.6,0.17,0.13,0.82,0.53,0.23,0.25,0.82
tycho.csv,0.12,0.33,0.21,0.5,0.1,0.47,0.08,0.08,0.21,0.06,0.0
unicase.csv,0.73,0.8,0.86,0.39,0.97,0.93,0.97,0.95,0.93,0.97,0.97
xcmetadataservicestoolkit.csv,0.68,0.69,0.18,0.61,0.54,0.27,0.97,0.41,0.84,0.83,0.59
