,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.25,0.4,0.71,0.76,0.18,0.71,0.05,0.65,0.39,0.65,0.64
codesmith.csv,0.0,0.49,0.53,0.87,0.19,0.71,0.07,0.37,0.4,0.67,0.89
javaprofiler.csv,0.4,0.34,0.58,0.71,0.2,0.69,0.03,0.47,0.37,0.91,0.67
jpaul.csv,0.52,0.27,0.0,0.74,0.0,0.53,0.0,0.75,0.0,0.85,0.87
jrdf.csv,0.43,0.37,0.0,0.8,0.45,0.92,0.05,0.3,0.56,0.53,0.4
mecat.csv,0.67,0.33,0.0,0.84,0.14,1.0,0.27,0.0,0.5,0.9,0.0
neodatis-odb.csv,0.26,0.62,0.59,0.71,0.17,0.72,0.14,0.62,0.41,0.82,0.83
synecdoche.csv,0.47,0.28,0.68,0.75,0.44,0.88,0.06,0.35,0.64,0.67,0.61
tycho.csv,0.0,0.38,0.81,0.69,0.14,0.61,0.0,0.62,0.55,0.94,1.0
unicase.csv,0.3,0.37,0.49,0.84,0.21,0.74,0.05,0.36,0.38,0.63,0.63
xcmetadataservicestoolkit.csv,0.18,0.31,0.58,0.71,0.16,0.89,0.03,0.29,0.41,0.56,0.51
