,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.49,0.86,0.86,0.74,0.59,0.92,0.86,0.88,0.75,0.51,0.59,0.97
echongl.csv,0.64,0.59,0.61,0.62,0.68,0.59,0.36,0.91,0.86,0.44,0.59,0.6
hazelcast.csv,0.35,0.33,0.37,0.33,0.36,0.35,0.41,0.35,0.31,0.34,0.37,0.33
japano.csv,0.5,0.67,0.48,0.56,0.54,0.4,0.37,0.45,0.38,0.63,0.47,0.6
jmol.csv,0.4,0.41,0.46,0.38,0.48,0.39,0.3,0.41,0.4,0.44,0.37,0.38
mobicents.csv,0.4,0.45,0.56,0.45,0.38,0.36,0.3,0.62,0.64,0.44,0.38,0.51
nunit.csv,0.5,0.46,0.82,0.49,0.44,0.42,0.65,0.83,0.42,0.77,0.41,0.63
openefm.csv,0.59,0.48,0.44,0.41,0.68,0.43,0.41,0.66,0.48,0.55,0.75,0.63
snakeyaml.csv,0.47,0.41,0.61,0.44,0.41,0.62,0.46,0.6,0.48,0.65,0.48,0.86
trackit.csv,0.81,0.92,0.49,0.99,0.94,0.9,0.91,0.89,0.41,0.98,0.5,0.66
unicase.csv,0.43,0.46,0.46,0.43,0.52,0.41,0.46,0.42,0.47,0.43,0.37,0.5
wheat.csv,0.45,0.59,0.73,0.51,0.54,0.7,0.33,0.46,0.48,0.77,0.52,0.43
