,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.71,0.31,0.8,0.73,0.43,0.83,0.45,0.54,0.67,0.5,0.92,0.51,0.71,0.0
jicarilla.csv,0.0,0.5,0.79,0.5,0.95,0.0,0.83,0.0,0.55,0.92,0.8,0.92,0.92,0.55
jmule.csv,0.43,0.42,0.71,0.49,0.39,0.42,0.38,0.53,0.56,0.37,0.44,0.44,0.61,0.48
micomt.csv,0.4,0.57,0.62,0.39,0.5,0.45,0.37,0.56,0.94,0.51,0.47,0.64,0.56,0.43
migen.csv,0.73,0.92,0.79,0.73,0.44,0.69,0.86,0.89,0.64,0.52,0.63,0.44,0.88,0.67
mvnforum.csv,0.6,0.89,0.91,0.99,0.95,0.94,0.71,0.73,0.95,0.65,0.93,0.99,0.92,0.0
ng4j.csv,0.57,0.47,0.67,0.42,0.36,0.44,0.37,0.5,0.94,0.45,0.41,0.54,0.61,0.73
open-data-kit.csv,0.58,0.39,0.66,0.38,0.41,0.4,0.37,0.5,0.42,0.43,0.4,0.43,0.47,0.37
opennms.csv,0.69,0.42,0.6,0.86,0.62,0.63,0.92,0.77,0.45,0.62,0.94,0.48,0.53,0.34
ossim.csv,0.78,0.41,0.59,0.61,0.51,0.47,0.72,0.62,0.49,0.6,0.64,0.39,0.41,0.31
plplot.csv,0.48,0.33,0.75,0.87,0.39,0.67,0.5,0.62,0.92,0.5,0.72,0.49,0.73,0.43
qedo.csv,0.94,0.94,0.71,0.96,0.77,0.77,0.8,0.97,0.54,0.92,0.94,0.74,0.89,0.71
tradelink.csv,0.46,0.68,0.87,0.98,0.53,0.79,0.39,0.71,0.89,0.53,0.61,0.98,0.52,0.55
wgs-assembler.csv,0.64,0.49,0.75,0.5,0.36,0.64,0.5,0.88,0.38,0.42,0.67,0.42,0.56,0.6
