,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.33,0.99,0.82,0.46,0.67,0.58,0.6,0.94,0.55,0.59,0.43,0.54,0.42,0.67,0.91
biodwh.csv,0.45,0.75,0.92,0.43,0.56,0.89,0.65,0.91,0.83,0.37,0.48,0.67,0.62,0.48,0.62
brlcad.csv,0.33,0.6,0.62,0.9,0.67,0.77,0.83,0.94,0.52,0.0,0.89,0.81,0.79,0.0,0.67
delphilhlplib.csv,0.32,0.84,0.42,0.77,0.54,0.44,0.67,0.95,0.48,0.69,0.46,0.39,0.56,0.56,0.57
exordium.csv,0.33,0.87,0.48,0.7,0.59,0.42,0.53,0.94,0.62,0.61,0.75,0.69,0.52,0.48,0.67
fltk.csv,0.33,0.79,0.58,0.54,0.52,0.47,0.55,0.85,0.37,0.41,0.39,0.39,0.56,0.67,0.52
gzigzag.csv,0.33,0.45,0.46,0.5,0.8,0.46,0.67,0.47,0.4,0.58,0.47,0.52,0.3,0.34,0.85
jcache.csv,0.34,0.45,0.38,0.55,0.43,0.39,0.59,0.46,0.37,0.41,0.38,0.41,0.47,0.41,0.33
mimosa.csv,0.33,0.45,0.39,0.63,0.43,0.39,0.41,0.45,0.33,0.54,0.43,0.39,0.38,0.44,0.44
moast.csv,0.86,0.6,0.72,0.98,0.95,0.41,0.86,0.98,0.95,0.38,0.88,0.43,0.4,0.79,0.67
mptvseries.csv,0.39,0.42,0.0,0.69,0.64,0.92,0.5,0.95,0.9,0.57,0.5,0.0,0.75,0.67,0.75
ogre.csv,0.83,0.74,0.51,0.55,0.53,0.43,0.52,0.45,0.42,0.63,0.44,0.42,0.4,0.62,0.4
qdvdauthor.csv,0.56,0.51,0.66,0.49,0.48,0.69,0.47,0.81,0.44,0.55,0.45,0.51,0.81,0.59,0.76
sauerbraten.csv,0.38,0.44,0.49,0.42,0.42,0.45,0.35,0.42,0.36,0.39,0.37,0.39,0.35,0.54,0.34
zxing.csv,0.33,0.65,0.51,0.41,0.55,0.49,0.46,0.86,0.44,0.37,0.35,0.49,0.31,0.38,0.44
