,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.71,0.93,0.84,0.59,0.75,0.63,0.5,1.06,0.43,0.94,0.57,1.05,0.71,0.75,0.8
biodwh.csv,0.57,1.01,0.86,0.71,0.72,0.73,0.46,0.95,0.75,0.77,0.57,1.0,0.2,0.48,0.59
brlcad.csv,0.96,0.45,0.59,0.94,0.89,0.79,0.68,1.05,0.6,1.0,0.9,0.96,0.7,1.0,0.95
delphilhlplib.csv,0.83,0.61,0.36,0.65,0.47,0.68,0.48,1.05,0.51,0.46,0.63,0.69,0.73,0.43,0.61
exordium.csv,0.62,0.72,0.44,0.67,0.25,0.56,0.62,0.92,0.54,0.6,0.79,0.95,0.66,0.46,0.72
fltk.csv,0.67,0.78,0.59,0.43,0.55,0.76,0.57,0.96,0.94,0.91,0.56,0.86,0.63,0.92,0.59
gzigzag.csv,0.53,0.64,0.63,0.73,0.69,0.58,0.75,1.23,0.66,0.53,0.71,1.11,0.67,0.39,0.84
jcache.csv,0.84,0.86,0.89,0.61,0.88,0.83,0.77,1.02,0.6,0.5,0.92,0.52,0.55,0.18,0.73
mimosa.csv,1.0,0.86,0.94,0.57,0.92,0.91,0.79,1.0,0.91,0.3,0.97,0.69,0.78,0.43,0.94
moast.csv,0.91,0.85,0.77,0.83,0.68,0.82,0.85,0.9,0.79,0.95,0.92,0.08,0.82,0.98,0.76
mptvseries.csv,0.48,0.57,1.0,0.66,0.64,0.8,0.45,1.05,1.01,0.65,0.61,1.0,0.92,0.91,0.73
ogre.csv,0.93,0.73,0.81,0.65,0.98,0.86,0.99,0.05,0.85,0.42,0.75,1.0,0.65,0.98,0.95
qdvdauthor.csv,0.61,0.91,0.87,0.84,0.85,0.65,0.6,1.17,0.94,0.71,0.41,0.19,0.99,0.99,0.6
sauerbraten.csv,0.37,0.95,0.85,0.99,0.93,0.76,0.97,1.0,1.01,0.74,1.0,0.79,0.88,0.96,0.79
zxing.csv,0.57,0.87,0.94,0.68,0.67,0.66,0.47,0.99,0.65,0.91,0.44,0.98,0.71,0.34,0.32
