,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,0.53,0.83,1.0,0.6,0.86,0.42,0.73,0.67,0.62,0.0,0.23,0.36
dvt.csv,0.27,0.73,0.5,0.52,0.37,0.22,0.23,0.63,0.52,1.0,0.71,0.64
geotools.csv,0.67,0.97,0.67,0.62,0.58,0.48,0.64,0.73,0.7,1.0,0.65,0.55
grisbi.csv,0.98,0.95,1.0,0.83,0.91,0.9,0.95,0.93,0.68,0.0,0.86,0.76
jahshakafx.csv,0.73,0.83,0.83,0.85,0.47,0.35,0.64,0.93,0.51,1.0,0.91,0.4
lockss.csv,0.53,0.92,0.08,0.15,0.09,0.11,0.73,0.13,0.11,0.0,0.0,0.38
nassp.csv,0.25,0.64,0.75,0.19,0.12,0.4,0.5,0.13,0.38,0.0,0.29,0.05
ns-3-dev-def-routing.csv,0.4,0.76,0.67,0.48,0.7,0.28,0.27,0.4,0.67,0.0,0.15,0.9
pdfedit.csv,0.33,0.66,0.75,0.73,0.81,0.82,0.91,0.83,0.29,0.0,0.59,0.33
proftp.csv,0.11,0.63,0.67,0.52,0.12,0.09,0.5,0.77,0.38,1.0,0.3,0.12
rodin-b-sharp.csv,0.33,0.42,0.67,0.73,0.53,0.82,0.73,0.4,0.46,0.0,0.88,0.07
