,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,35.0,56.0,5.0,2.0,2.0,1.0,3.0,5.0,0.0,103.0,0.0,23.0
dvt.csv,2.0,100.0,10.0,5.0,1.0,1.0,9.0,1.0,2.0,40.0,4.0,0.0
geotools.csv,1.0,82.0,8.0,5.0,5.0,17.0,1.0,1.0,2.0,87.0,1.0,1.0
grisbi.csv,32.0,56.0,11.0,8.0,0.0,1.0,2.0,6.0,1.0,103.0,0.0,34.0
jahshakafx.csv,19.0,3.0,8.0,1.0,0.0,8.0,8.0,2.0,0.0,66.0,1.0,0.0
lockss.csv,3.0,28.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,103.0,79.0,0.0
nassp.csv,21.0,8.0,6.0,0.0,1.0,2.0,1.0,1.0,2.0,103.0,0.0,1.0
ns-3-dev-def-routing.csv,8.0,104.0,14.0,6.0,2.0,5.0,0.0,3.0,0.0,103.0,4.0,21.0
pdfedit.csv,12.0,9.0,7.0,1.0,0.0,3.0,6.0,1.0,5.0,103.0,0.0,2.0
proftp.csv,8.0,46.0,1.0,3.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,7.0
rodin-b-sharp.csv,27.0,35.0,6.0,2.0,1.0,1.0,10.0,2.0,7.0,103.0,0.0,1.0
