,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.58,0.75,0.78,0.61,0.72,0.87,0.95,0.98,0.06,0.78,0.72,1.29,0.64,0.74,0.79
biodwh.csv,0.42,0.9,0.76,0.77,0.79,0.87,0.69,1.05,1.0,0.79,0.83,0.99,0.0,0.94,0.82
brlcad.csv,0.97,0.03,0.91,0.93,0.83,0.85,0.77,0.58,0.9,0.99,0.85,0.97,0.77,0.91,0.77
delphilhlplib.csv,0.74,0.93,0.02,0.72,0.72,0.71,0.85,0.59,0.88,0.84,0.67,0.93,0.88,0.89,0.79
exordium.csv,0.8,0.73,0.6,0.9,0.05,0.61,0.62,0.85,0.77,0.61,0.82,1.33,0.86,0.87,0.77
fltk.csv,0.6,0.56,0.61,0.04,0.46,0.71,0.51,0.84,0.86,0.62,0.69,0.35,0.61,0.74,0.88
gzigzag.csv,0.7,0.93,0.94,0.64,0.7,0.0,0.68,0.74,0.97,0.92,0.72,0.98,0.66,0.78,0.84
jcache.csv,0.76,0.82,1.0,0.72,0.68,0.67,0.66,0.69,0.71,0.67,0.61,0.49,0.72,0.02,0.58
mimosa.csv,0.75,0.85,0.62,0.54,0.7,0.53,0.55,0.75,0.59,0.02,0.68,0.95,0.74,0.42,0.7
moast.csv,1.0,1.0,0.89,1.0,1.0,0.85,1.0,1.0,0.8,0.69,1.0,0.0,0.86,0.38,0.9
mptvseries.csv,0.56,0.76,0.85,0.52,0.5,0.56,0.03,0.89,0.6,0.54,0.78,0.83,0.76,0.68,0.88
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qdvdauthor.csv,0.79,0.9,0.89,0.76,0.85,0.77,0.69,0.88,0.88,0.66,0.0,0.41,0.85,0.54,0.63
sauerbraten.csv,0.03,0.72,0.67,0.56,0.57,0.57,0.62,0.68,0.62,0.68,0.76,0.98,0.53,0.57,0.77
zxing.csv,0.66,1.0,0.95,0.59,0.75,0.74,0.44,1.01,0.74,0.84,0.49,0.96,0.58,0.86,0.04
