,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.83,0.0,0.83,0.93,0.82,0.81,0.64,0.65,0.56,0.8,0.45,0.73,0.82,0.89,0.79,0.71,0.97,0.8,0.71
delphilhlplib.csv,0.83,0.98,0.0,0.93,0.8,0.71,0.82,0.9,0.89,0.67,0.96,0.8,0.97,0.87,0.89,0.71,0.48,0.95,0.82
exordium.csv,0.04,0.57,0.28,0.13,0.0,0.32,0.33,0.23,0.56,0.25,0.13,0.32,0.25,0.08,0.26,0.24,0.55,0.11,0.51
fltk.csv,0.46,0.37,0.06,0.01,0.23,0.23,0.2,0.23,0.33,0.24,0.04,0.14,0.11,0.15,0.16,0.18,0.24,0.13,0.36
genoviz.csv,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
gzigzag.csv,0.29,0.09,0.11,0.05,0.3,0.0,0.12,0.26,0.11,0.18,0.04,0.17,0.12,0.06,0.42,0.07,0.17,0.03,0.2
irrlicht.csv,0.83,0.85,0.06,0.39,0.84,0.14,0.28,0.52,0.67,0.02,1.0,0.68,0.88,0.94,0.89,0.8,0.0,0.62,0.38
kmess.csv,0.08,0.75,0.39,0.64,0.55,0.49,0.34,0.52,0.78,0.57,0.66,0.51,0.44,0.68,0.53,0.02,0.31,0.54,0.51
moast.csv,1.0,1.0,0.83,1.0,1.0,0.84,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.87
mptvseries.csv,0.54,0.19,0.0,0.2,0.11,0.08,0.17,0.0,0.22,0.37,0.21,0.04,0.26,0.08,0.47,0.29,0.38,0.07,0.27
nativeclient.csv,0.29,0.53,0.11,0.29,0.57,0.46,0.37,0.45,0.78,0.27,0.43,0.37,0.28,0.43,0.21,0.35,0.14,0.03,0.51
openfrag.csv,0.83,0.89,0.83,0.65,0.77,0.62,0.49,0.65,0.89,0.65,0.81,0.73,0.54,0.0,0.53,0.69,0.62,0.96,0.78
phet.csv,0.62,0.2,0.61,0.31,0.57,0.66,0.0,0.55,0.56,0.37,0.28,0.8,0.86,0.66,0.53,0.58,1.0,0.64,0.51
qdvdauthor.csv,0.5,0.41,0.44,0.33,0.32,0.03,0.13,0.35,0.22,0.29,0.26,0.51,0.37,0.3,0.0,0.6,0.0,0.52,0.04
qse.csv,0.42,0.34,0.22,0.42,0.39,0.33,0.43,0.29,0.89,0.45,0.0,0.35,0.25,0.15,0.47,0.33,0.86,0.09,0.69
sauerbraten.csv,0.0,0.78,0.61,0.22,0.43,0.19,0.31,0.32,0.78,0.24,0.21,0.41,0.35,0.28,0.26,0.42,0.03,0.11,0.51
toped.csv,0.71,0.08,0.28,0.4,0.66,0.17,0.14,0.58,0.0,0.63,0.11,0.34,0.8,0.55,0.74,0.96,0.03,0.67,0.49
truevision.csv,0.54,0.18,0.61,0.34,0.48,0.83,0.79,0.42,0.67,0.39,0.15,0.0,0.23,0.92,0.47,0.47,0.9,0.12,0.73
zoolib.csv,0.17,0.05,0.0,0.09,0.16,0.08,0.08,0.16,0.0,0.27,0.0,0.01,0.0,0.0,0.26,0.18,0.03,0.12,0.0
