,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,1.0,28.0,1.0,8.0,8.0,12.0,2.0,1.0,1.0,2.0,23.0,2.0,16.0,2.0,56.0
bscwweasel.csv,1.0,142.0,16.0,5.0,6.0,1.0,2.0,0.0,0.0,4.0,9.0,6.0,6.0,0.0,56.0
capcode.csv,1.0,12.0,2.0,35.0,12.0,0.0,2.0,4.0,0.0,2.0,30.0,3.0,10.0,0.0,17.0
cme.csv,199.0,142.0,190.0,2.0,65.0,82.0,147.0,0.0,0.0,104.0,1.0,70.0,183.0,161.0,0.0
emite.csv,0.0,14.0,4.0,11.0,7.0,9.0,0.0,3.0,1.0,6.0,3.0,2.0,38.0,1.0,18.0
fluent-nhibernate.csv,0.0,9.0,1.0,7.0,5.0,0.0,2.0,1.0,1.0,0.0,16.0,2.0,2.0,0.0,56.0
lamp.csv,0.0,9.0,3.0,10.0,13.0,19.0,1.0,1.0,0.0,1.0,26.0,2.0,27.0,7.0,8.0
mecat.csv,199.0,1.0,0.0,161.0,3.0,6.0,147.0,1.0,85.0,1.0,0.0,70.0,9.0,161.0,3.0
nodal.csv,0.0,20.0,0.0,4.0,10.0,11.0,0.0,3.0,0.0,1.0,21.0,0.0,6.0,0.0,6.0
pydev.csv,1.0,22.0,2.0,47.0,9.0,0.0,1.0,4.0,1.0,2.0,21.0,3.0,22.0,0.0,20.0
retromenu.csv,1.0,6.0,1.0,7.0,0.0,3.0,0.0,15.0,0.0,0.0,21.0,0.0,23.0,0.0,56.0
smbopensoft.csv,0.0,10.0,22.0,37.0,13.0,16.0,1.0,6.0,8.0,0.0,22.0,1.0,6.0,2.0,24.0
stuproa-cims.csv,199.0,1.0,9.0,1.0,16.0,0.0,2.0,1.0,1.0,0.0,7.0,1.0,16.0,5.0,8.0
thout.csv,0.0,13.0,1.0,4.0,8.0,0.0,2.0,4.0,1.0,1.0,20.0,3.0,11.0,12.0,2.0
uface.csv,1.0,13.0,20.0,14.0,5.0,18.0,2.0,5.0,0.0,8.0,13.0,2.0,36.0,0.0,24.0
