,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.95,0.74,0.24,0.68,0.2,0.25,0.34,0.08,0.35,0.08,0.06,0.82,0.0
ftm.csv,0.31,0.2,0.55,0.61,0.39,0.3,0.57,0.3,0.06,0.14,0.23,0.7,0.38
google-web-toolkit.csv,0.95,0.14,0.66,0.13,0.36,0.67,0.52,0.62,0.12,0.47,0.31,0.57,0.88
gzigzag.csv,0.64,0.01,0.45,0.19,0.2,0.31,0.21,0.12,0.29,0.12,0.11,0.95,0.5
illumination.csv,0.03,0.0,0.97,0.0,0.94,0.0,0.0,0.05,0.82,0.0,0.02,0.0,1.0
jcache.csv,0.62,0.94,0.72,0.94,0.86,0.72,0.91,0.7,0.65,0.97,0.9,0.34,0.91
moast.csv,0.13,1.0,0.86,0.1,0.47,0.41,0.41,0.15,0.41,0.97,1.0,0.11,0.53
nativeclient.csv,0.77,0.87,0.69,0.87,0.7,0.59,0.82,0.57,0.47,1.0,0.67,0.75,0.82
ns-3-dev-def-routing.csv,0.92,0.96,0.55,0.71,0.35,0.46,0.56,0.45,0.06,0.68,0.56,0.56,0.59
openfrag.csv,0.97,0.68,0.66,0.32,0.73,0.8,0.73,0.6,0.47,0.87,0.35,0.97,0.94
qdvdauthor.csv,0.38,0.75,0.45,0.32,0.76,0.35,0.76,0.78,0.24,0.77,0.9,0.7,0.74
sauerbraten.csv,0.85,0.74,0.83,0.35,0.94,0.76,0.9,0.98,0.82,0.95,0.93,0.98,0.91
zoolib.csv,0.92,0.2,0.69,0.68,0.32,0.47,0.59,0.45,0.24,0.99,0.16,0.64,0.5
