,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,98.5,594.0,265.5,1955.5,152.0,99.0,94.5,97.5,289.0,82.5,99.0,295.0,0.0
ftm.csv,98.5,495.0,372.0,2419.0,77.5,99.0,196.5,97.5,260.5,293.0,198.0,97.5,66.5
google-web-toolkit.csv,98.5,99.0,460.5,1514.0,770.5,99.0,196.0,97.5,286.5,390.5,99.0,196.5,375.0
gzigzag.csv,98.5,261.5,456.5,1716.0,416.5,98.5,96.5,97.5,445.5,390.5,91.5,295.0,181.0
illumination.csv,71.5,0.0,386.0,0.0,1956.5,0.0,0.0,50.5,289.0,108.0,86.5,0.0,375.0
jcache.csv,98.5,495.0,386.0,975.5,1251.5,99.0,494.0,97.5,192.5,294.0,99.0,93.5,183.0
moast.csv,472.0,594.0,386.0,3521.5,238.5,98.5,287.5,96.5,385.5,191.5,99.0,91.5,280.5
nativeclient.csv,98.5,594.0,386.0,585.5,902.0,99.0,98.5,97.5,192.5,588.0,99.0,97.5,277.5
ns-3-dev-def-routing.csv,98.5,594.0,178.0,1417.0,77.5,99.0,96.5,97.5,254.5,96.5,99.0,196.0,184.0
openfrag.csv,98.5,198.0,360.0,2333.5,77.5,99.0,195.0,97.5,286.5,389.0,99.0,295.0,282.5
qdvdauthor.csv,98.5,594.0,635.5,583.0,1162.0,291.5,591.5,97.5,286.5,283.5,99.0,295.0,183.0
sauerbraten.csv,98.5,198.0,823.5,5430.0,1878.0,99.0,197.5,97.5,384.0,489.0,99.0,295.0,277.5
zoolib.csv,98.5,198.0,635.5,1194.0,73.5,99.0,97.5,97.5,535.5,588.0,90.5,97.5,88.5
