,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.83,0.0,0.72,0.78,0.66,0.55,0.69,0.53,0.51,0.76,0.74,0.68,0.76
ftm.csv,0.21,0.33,0.22,0.23,0.09,0.31,0.29,0.42,0.15,0.45,0.05,0.0,0.15
google-web-toolkit.csv,0.46,0.91,0.11,0.19,0.25,0.01,0.41,0.42,0.49,0.24,0.32,0.0,0.2
gzigzag.csv,0.04,0.05,0.0,0.03,0.0,0.09,0.06,0.05,0.0,0.07,0.04,0.1,0.02
illumination.csv,0.17,0.46,0.08,0.28,0.06,0.09,0.13,0.37,0.02,0.38,0.33,0.1,0.05
jcache.csv,0.92,0.63,0.73,0.5,0.25,0.55,0.51,0.47,0.68,0.28,0.17,0.31,0.02
moast.csv,0.75,0.27,0.77,0.85,0.92,0.69,0.73,0.68,0.78,0.0,0.22,0.83,0.29
nativeclient.csv,0.62,0.57,0.59,0.71,0.66,0.66,0.77,0.84,0.72,0.52,0.03,0.59,0.41
ns-3-dev-def-routing.csv,0.54,0.88,0.2,0.32,0.21,0.25,0.02,0.42,0.32,0.55,0.17,0.56,0.15
openfrag.csv,0.83,0.84,0.51,0.34,0.0,0.48,0.54,0.53,0.6,0.52,0.81,0.44,0.15
qdvdauthor.csv,0.33,0.05,0.4,0.65,0.58,0.29,0.54,0.0,0.46,0.28,0.58,0.52,0.73
sauerbraten.csv,0.0,0.49,0.27,0.24,0.23,0.35,0.24,0.21,0.25,0.31,0.09,0.31,0.12
zoolib.csv,0.08,0.01,0.05,0.0,0.08,0.08,0.11,0.32,0.05,0.03,0.26,0.28,0.0
