,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.0,1.0,1.0,1.0,0.71,0.93,0.84,0.9,0.92,0.9,1.0,1.0,0.95,1.0
jicarilla.csv,1.01,0.88,0.05,1.0,0.88,0.79,0.89,0.95,1.0,0.97,1.02,1.0,1.03,0.99
jmule.csv,0.62,0.68,0.99,0.62,0.53,0.76,0.69,0.55,1.0,0.53,0.61,0.82,0.43,0.04
micomt.csv,0.77,0.72,0.77,0.54,0.67,0.66,0.84,0.68,0.03,0.77,0.79,1.02,0.84,0.91
migen.csv,0.24,0.73,0.83,0.63,0.03,0.76,0.89,0.69,0.61,0.63,0.9,0.97,0.68,0.8
mvnforum.csv,1.01,0.93,0.89,0.95,0.72,1.0,0.02,0.72,0.64,0.67,0.72,0.84,0.85,1.0
ng4j.csv,0.54,0.6,0.99,0.56,0.66,0.6,0.66,0.58,0.37,0.52,0.62,0.77,0.02,0.52
open-data-kit.csv,0.63,0.57,0.97,0.6,0.66,0.77,0.49,0.75,0.88,0.03,0.57,0.77,0.54,0.47
opennms.csv,1.06,0.66,1.0,0.63,0.89,0.07,0.73,0.7,1.19,0.84,0.91,1.02,0.9,0.78
ossim.csv,1.0,0.92,1.0,0.06,0.94,0.96,1.0,0.95,1.0,0.92,1.0,1.03,1.0,0.96
plplot.csv,0.6,1.0,0.92,0.79,0.57,0.74,0.61,0.1,0.8,0.48,0.55,0.98,0.67,0.68
qedo.csv,1.0,1.0,0.88,1.0,0.97,0.93,0.94,1.0,1.0,0.97,0.95,0.14,1.0,1.0
tradelink.csv,1.0,0.87,1.01,0.95,0.82,0.97,0.84,1.0,0.72,0.94,0.05,0.97,0.95,1.0
wgs-assembler.csv,0.5,0.13,1.01,0.48,0.89,0.91,0.95,0.79,0.63,0.86,0.58,1.0,0.76,0.92
