,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.0,0.03,0.0,0.0,0.09,0.06,0.09,0.0,0.0,0.02,0.03,0.02,0.0,0.0
jicarilla.csv,0.14,0.26,0.05,0.04,0.3,0.26,0.09,0.3,0.07,0.23,0.18,0.03,0.39,0.59
jmule.csv,0.62,0.63,0.46,0.53,0.44,0.62,0.52,0.35,1.0,0.5,0.58,0.57,0.41,0.0
micomt.csv,0.77,0.71,0.76,0.54,0.6,0.62,0.8,0.49,0.03,0.64,0.7,0.91,0.68,0.86
migen.csv,0.24,0.23,0.27,0.28,0.0,0.25,0.07,0.18,0.29,0.23,0.06,0.59,0.19,0.1
mvnforum.csv,0.14,0.13,0.14,0.17,0.12,0.03,0.02,0.28,0.17,0.3,0.22,0.17,0.08,0.0
ng4j.csv,0.2,0.5,0.19,0.55,0.3,0.45,0.64,0.25,0.29,0.41,0.49,0.49,0.02,0.14
open-data-kit.csv,0.38,0.46,0.35,0.55,0.47,0.61,0.36,0.23,0.88,0.0,0.53,0.65,0.41,0.28
opennms.csv,0.34,0.44,0.03,0.28,0.07,0.01,0.11,0.21,0.64,0.25,0.17,0.18,0.08,0.72
ossim.csv,0.0,0.01,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.23,0.0,0.0
plplot.csv,0.34,1.0,0.27,0.56,0.49,0.6,0.57,0.0,0.41,0.25,0.45,0.61,0.44,0.66
qedo.csv,0.04,0.01,0.03,0.02,0.07,0.01,0.02,0.0,0.07,0.02,0.04,0.0,0.02,0.0
tradelink.csv,0.03,0.06,0.14,0.14,0.05,0.04,0.07,0.09,0.2,0.05,0.0,0.34,0.02,0.0
wgs-assembler.csv,0.04,0.0,0.11,0.29,0.09,0.17,0.11,0.19,0.15,0.05,0.08,0.29,0.12,0.07
