,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.5,0.49,0.31,0.54,0.39,0.41,0.14,0.42,0.13,0.65,0.5,0.28
echongl.csv,0.42,0.57,0.44,0.59,0.85,0.54,0.9,0.21,0.39,0.83,0.23,0.31
hazelcast.csv,0.55,0.96,0.64,0.69,0.64,0.79,0.55,0.29,0.6,0.72,0.29,0.35
japano.csv,0.42,0.56,0.69,0.5,0.83,0.77,0.63,0.2,0.68,0.54,0.14,0.22
jmol.csv,0.47,0.76,0.49,0.67,0.91,0.8,0.78,0.22,0.47,0.79,0.24,0.34
mobicents.csv,0.53,0.59,0.56,0.69,0.64,0.86,0.72,0.32,0.66,0.66,0.29,0.38
nunit.csv,0.39,0.73,0.13,0.48,0.58,0.65,0.51,0.2,0.49,0.31,0.24,0.5
openefm.csv,0.64,0.87,0.72,0.61,0.45,0.47,0.19,0.27,0.57,0.32,0.35,0.18
snakeyaml.csv,0.35,0.66,0.26,0.58,0.47,0.48,0.5,0.46,0.41,0.41,0.19,0.34
trackit.csv,0.29,0.31,0.71,0.22,0.32,0.45,0.08,0.18,0.57,0.13,0.0,0.15
unicase.csv,0.48,0.82,0.62,0.69,0.78,0.81,0.77,0.23,0.62,0.8,0.23,0.4
wheat.csv,0.43,0.68,0.47,0.55,0.59,0.42,0.75,0.25,0.7,0.37,0.29,0.28
