,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.32,0.71,0.07,0.46,0.64,0.12,0.07,0.17,0.51,0.67,0.46,0.62
delphilhlplib.csv,0.79,0.51,0.18,0.47,0.12,0.24,0.07,0.35,0.46,0.13,0.58,0.17
factor.csv,0.0,0.5,0.24,0.3,0.36,0.03,0.08,0.12,0.73,0.14,0.9,0.49
fceugc.csv,0.84,0.5,0.44,0.58,0.44,0.35,0.04,0.27,0.27,0.3,0.73,0.0
fltk.csv,0.59,0.73,0.39,0.47,0.69,0.16,0.08,0.26,0.84,0.24,0.84,0.39
jstock.csv,0.85,0.43,0.17,0.41,0.36,0.58,0.09,0.67,0.66,0.29,0.7,0.4
lportal.csv,0.11,0.15,0.03,0.0,0.18,0.01,0.24,0.0,0.14,0.0,0.05,0.3
natpad.csv,0.83,0.73,0.31,0.49,0.71,0.5,0.1,0.51,0.81,0.24,0.67,0.67
ogre.csv,0.68,0.59,0.32,0.42,0.38,0.97,0.07,0.36,0.69,0.26,0.31,0.52
phet.csv,0.49,0.21,0.52,0.32,0.23,0.95,0.01,0.31,0.52,0.08,0.63,0.19
sandiaportals.csv,0.84,0.71,0.24,0.46,0.61,0.21,0.09,0.52,0.85,0.18,0.82,0.63
sumatrapdf.csv,0.85,0.73,0.36,0.51,0.72,0.74,0.08,0.48,0.83,0.29,0.82,0.69
