,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.21,0.25,0.09,0.27,0.25,0.21,0.09,0.18,0.0,0.13,1.0,0.29
echongl.csv,0.11,0.37,0.12,0.42,0.32,0.53,1.0,0.22,0.46,0.52,0.0,0.32
hazelcast.csv,0.6,1.0,0.38,0.35,0.52,0.32,0.21,0.52,0.3,0.66,0.41,0.53
japano.csv,0.24,0.0,0.4,0.09,1.0,0.17,0.13,0.17,0.0,0.26,0.3,0.13
jmol.csv,0.65,0.63,0.31,0.61,0.42,1.0,0.54,0.57,0.47,0.58,0.33,0.59
mobicents.csv,0.67,0.49,0.26,1.0,0.54,0.55,0.67,0.6,0.25,0.54,0.8,0.53
nunit.csv,0.41,0.0,0.39,0.42,0.68,0.43,0.16,0.46,0.0,0.32,0.65,0.98
openefm.csv,1.0,0.0,0.58,0.55,0.3,0.41,0.25,0.71,0.25,0.3,0.54,0.49
snakeyaml.csv,0.43,0.44,0.58,0.57,0.64,0.53,0.64,1.0,0.51,0.52,0.61,0.49
trackit.csv,0.42,0.53,1.0,0.46,0.38,0.24,0.74,0.22,0.54,0.49,0.0,0.48
unicase.csv,0.39,0.68,0.54,0.52,0.0,0.55,0.37,0.39,0.35,1.0,0.47,0.65
wheat.csv,0.44,0.46,0.34,0.38,0.4,0.14,0.5,0.3,1.0,0.35,0.42,0.45
